,Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia,Start_b,End_b,name2,Distance
35,chr1,31713608,31725676,0.02819,0.13566,0.00739,0.00329,0.00031,0.01814,0.24695,0.00949,0.05806,0.03422,0.05461,0.20026,0.0956,0.1241,0.04466,0.02016,0.01072,0.04464,0.00164,0.00509,0.01376,31709903,31779797,AL136115.2,0
36,chr1,31759339,31765013,0.01785,0.24413,0.00249,0.01468,0.02764,0.00519,0.42654,0.031,0.07096,0.08421,0.03127,0.1975,0.17719,0.12929,0.14387,0.00522,0.01354,0.00059,0.00156,0.00194,0.00761,31709903,31779797,AL136115.2,0
37,chr1,31987373,31995474,0.00211,0.16358,0.00082,0.02759,0.00318,0.00123,0.11545,0.00031,0.0561,7e-05,0.00551,0.14417,0.24027,0.12489,0.19101,0.03194,0.00076,0.00413,0.04247,0.01404,0.00828,31965998,32034460,KPNA6,0
38,chr1,32111658,32122624,0.0011,0.15533,0.00075,0.00148,0.01157,0.01064,0.13152,0.0034,2e-05,0.00468,0.01481,0.1737,0.13043,0.08642,0.21792,0.00413,0.01813,0.00593,0.00427,0.01692,0.04309,32109142,32144080,LCK,0
39,chr1,33045588,33077269,0.11502,0.02034,0.00951,0.00056,0.0025,0.00048,0.27549,0.0692,0.12979,0.17119,0.08912,0.05975,0.03382,0.01062,0.02443,0.00516,0.02359,0.00588,0.00593,0.0,0.00522,33056336,33061901,AL662907.3,0
40,chr1,34948278,34953716,0.01503,0.20325,0.00405,0.01386,0.0,0.00777,0.32776,0.03078,0.06245,0.01516,0.00126,0.15046,0.12404,0.20737,0.24606,0.00304,0.0042,0.02304,0.01442,0.0356,0.00739,34894834,34978292,ZMYM1,0
41,chr1,35151337,35156814,0.00978,0.0691,0.00449,0.05702,0.01608,0.00905,0.12832,0.0242,0.02648,0.00037,7e-05,0.03824,0.24307,0.14956,0.11322,0.08297,0.03638,0.02634,0.01766,0.0184,0.00082,35131611,35285000,MSTRG.140,0
42,chr1,36026070,36033230,6e-05,0.11112,0.01161,0.03377,0.00063,0.00616,0.10629,0.012,0.04322,0.00026,0.00566,0.18751,0.25792,0.0968,0.14815,0.00745,0.01761,0.0007,0.04352,0.00966,0.01043,36018457,36037883,MAP7D1,0
43,chr1,36129730,36132105,0.07122,0.22541,0.02432,0.00582,0.11968,0.03499,0.04694,0.01245,0.03918,0.00526,0.00402,0.1049,0.16388,0.0197,0.06806,0.00551,0.03791,0.00179,0.06767,0.01054,0.02116,36087319,36166996,THRAP3,0
44,chr1,37648748,37650183,0.00338,0.0517,0.00651,0.05702,1e-05,0.01145,0.02809,0.01801,0.10401,0.00387,0.0208,0.09259,0.21261,0.05383,0.0934,0.02818,0.00594,0.00101,0.05744,0.01316,0.01054,37649361,37649790,AL929472.1,0
45,chr1,40048885,40056008,0.02819,0.11135,0.02629,0.00329,0.00893,0.0349,0.21761,0.00102,0.05806,0.00876,0.0001,0.23333,0.07519,0.17797,0.25299,0.04899,0.00479,0.00052,0.02348,0.05604,0.00828,40030848,40110388,RLF,0
46,chr1,40142165,40147742,0.01939,0.19995,0.01068,0.00296,0.10114,0.00108,0.09845,0.00147,0.04052,0.02823,0.00775,0.12,0.24478,0.0197,0.13686,0.02165,0.04754,0.0041,0.12223,0.00534,0.07067,40127491,40163705,MSTRG.157,0
47,chr1,41384763,41385763,0.07293,0.05644,0.0003,0.01386,0.02331,0.00173,0.26889,0.06238,0.02718,0.17731,0.07787,0.06173,0.13526,0.00997,0.03089,0.00991,0.02834,0.00348,0.07336,0.02093,0.01069,41376569,41789490,HIVEP3,0
48,chr1,44012489,44017025,6e-05,0.16305,0.00651,0.01016,0.05654,0.0,0.16001,0.00694,0.00913,0.04679,6e-05,0.22588,0.09839,0.03184,0.13985,0.03178,0.09945,0.00586,0.01717,0.00843,0.05325,44008769,44012511,KLF18,0
49,chr1,44829960,44830960,0.0651,0.03987,0.00227,0.00954,0.00134,7e-05,0.21382,0.0849,0.13882,0.08497,0.052,0.02313,0.01085,0.02751,0.03007,0.00263,0.00012,0.00143,0.00401,0.00635,0.0007,44721755,44858324,EIF2B3,0
50,chr1,45060415,45071892,0.01286,0.187,0.00904,0.00289,0.01425,0.00392,0.24695,0.00102,0.00524,0.04441,0.00269,0.26531,0.21261,0.10288,0.23302,0.00135,0.04468,0.00093,0.02617,3e-05,0.03293,44887992,45078165,ZSWIM5,0
51,chr1,45269220,45274976,0.00944,0.17037,0.00523,0.02131,8e-05,0.0017,0.09399,0.02927,0.00224,0.00789,0.00226,0.21947,0.07433,0.16287,0.13972,0.04734,0.00659,0.01085,0.0189,0.00885,0.00107,45200818,45362739,AL451136.1,0
52,chr1,45486543,45487916,0.0369,0.13895,0.00271,0.00071,0.01922,0.00546,0.27826,0.02199,0.05806,0.09178,0.01277,0.17673,0.11836,0.05749,0.18243,0.00589,0.03611,0.00053,0.01131,0.0085,0.04423,45456211,45487482,NASP,0
53,chr1,45838898,45860246,0.00137,0.11232,0.02439,0.01754,0.00033,0.00035,0.14764,0.01203,0.01002,0.00041,0.00234,0.22477,0.22596,0.12602,0.08164,0.00026,0.01907,0.02848,0.01362,0.01785,0.00127,45680729,45913313,MSTRG.175,0
54,chr1,48186237,48204742,9e-05,0.03935,0.01735,0.0859,0.18759,0.01419,0.03629,0.01778,0.08818,0.17731,0.00883,0.10476,0.01145,0.06042,0.00494,0.17006,0.29978,0.05943,0.01917,0.02458,0.08731,48174127,48350874,SPATA6,0
55,chr1,51104985,51115108,0.00211,0.25324,0.00082,0.02399,0.02784,0.0135,0.1907,0.00031,0.01132,0.01222,0.00391,0.23073,0.12803,0.1241,0.14056,0.01559,0.01962,0.00864,0.00017,0.00062,0.00163,51075001,51115004,LINC01562,0
56,chr1,51754200,51758567,0.02523,0.16358,0.01648,0.00346,0.00012,0.00654,0.22634,0.05364,0.0207,0.02871,0.03012,0.07929,0.18037,0.15503,0.09813,0.02709,0.01375,0.00187,0.00482,0.01295,0.00493,51669483,51759688,NRDC,0
57,chr1,52410832,52420534,0.02029,0.1601,0.00022,0.00935,0.02137,0.00201,0.06505,0.02437,0.05931,0.08651,0.02636,0.17143,0.20757,0.26535,0.17172,0.00678,0.01717,0.00102,0.00218,0.00154,0.00603,52304742,52434568,TUT4,0
58,chr1,53007984,53010964,0.10096,0.06124,7e-05,0.07953,0.10187,0.00446,0.31172,0.09216,0.00524,0.00295,0.05011,0.06425,0.27564,0.30972,0.08495,0.07246,0.09458,0.00348,0.0002,0.03755,0.05405,52968680,53024023,SLC1A7,0
59,chr1,53010964,53012264,0.10172,0.03035,0.00274,0.02364,0.09954,0.00153,0.25101,0.12526,0.04252,0.00212,0.05961,0.01488,0.11093,0.236,0.03822,0.0396,0.12956,0.00822,0.02656,0.01054,0.06495,52968680,53024023,SLC1A7,0
60,chr1,57826719,57830876,0.08084,1e-05,0.02151,0.0918,0.00193,0.02168,0.08401,0.18148,0.34848,0.10874,0.01378,0.02235,0.11616,0.00219,0.01749,0.04056,0.01072,0.07596,0.07846,0.12037,0.0337,56876780,58424710,DAB1,0
61,chr1,62054126,62068025,0.2472,0.10146,0.12805,0.31131,4e-05,0.00202,0.03694,0.01203,0.00618,0.24065,0.20752,0.00536,0.07257,0.09699,0.07824,0.03515,0.12204,0.12254,0.3036,0.27836,0.00152,61830571,62057311,PATJ,0
62,chr1,62068025,62069793,0.14421,0.2524,0.14047,0.23836,0.0,0.02508,0.02789,0.00057,0.04092,0.12226,0.20064,0.01433,0.00445,0.22179,0.31849,0.02687,0.12581,0.23499,0.2143,0.3003,0.02105,62067768,62068559,PIGPP2,0
63,chr1,67182574,67185993,0.03722,0.10517,0.05576,0.01143,0.00643,0.0027,0.25101,0.00031,0.01132,0.06907,0.01615,0.29641,0.18143,0.06166,0.12438,0.01559,0.09772,0.02969,0.03305,0.00258,0.01674,67184923,67274446,IL12RB2,0
64,chr1,71877399,71879284,0.0478,0.00363,0.00699,0.08014,0.00733,0.00101,0.08155,0.08964,0.26286,0.0936,0.02789,0.00043,0.07407,0.00056,0.00675,0.04946,1e-05,0.01225,0.05404,0.0647,0.01203,71273676,72161473,NEGR1,0
65,chr1,74025122,74026122,0.2009,0.02266,0.0,0.0,0.0,0.0,0.13027,0.20569,0.16672,0.19683,0.18318,0.02347,0.01738,0.02199,0.00901,0.0,0.0,0.0,0.0,0.0,0.0,73867619,74039728,LRRIQ3,0
66,chr1,74034082,74035082,0.12205,0.00078,0.02613,0.0181,0.02407,0.03164,0.13336,0.22881,0.18649,0.21923,0.25116,0.02347,0.01738,0.02199,0.02721,0.0,0.0,0.0,0.0,0.0,0.0,73867619,74039728,LRRIQ3,0
67,chr1,74035082,74036287,0.22364,0.02266,0.0,0.0,0.0,0.00508,0.13336,0.22881,0.18649,0.21923,0.19811,0.02347,0.01738,0.02199,0.00537,0.0,0.0,0.00539,0.0,0.0034,0.00484,73867619,74039728,LRRIQ3,0
68,chr1,74036287,74037546,0.2009,0.02266,0.0,0.0283,0.0,0.00508,0.13027,0.20569,0.18076,0.19683,0.19004,0.02347,0.04026,0.02199,0.00537,0.0292,0.0,0.00539,0.02754,0.02868,0.00484,73867619,74039728,LRRIQ3,0
69,chr1,74037546,74039695,0.21465,0.03071,0.01291,0.0089,0.01188,0.01914,0.13336,0.22881,0.18649,0.21923,0.19811,0.02347,0.01738,0.02199,0.00537,0.0,0.0,0.00539,0.0,0.0034,0.00484,73867619,74039728,LRRIQ3,0
70,chr1,77504389,77508959,0.00554,0.12905,0.00075,0.11643,0.01003,0.01064,0.18255,0.00237,0.11795,0.00037,0.00043,0.14632,0.43883,0.20687,0.18939,0.09864,0.0053,0.00593,0.07846,0.05064,2e-05,77400404,77522091,MSTRG.237,0
71,chr1,85775275,85776541,0.00597,0.01601,0.0112,0.22093,0.05977,0.01246,0.00214,0.00096,0.15135,0.024,0.00111,7e-05,0.12538,0.01423,3e-05,0.11172,0.01544,1e-05,0.05395,0.11015,0.01573,85570082,85997297,COL24A1,0
72,chr1,85835441,85841175,0.03423,0.06506,0.06288,0.0374,0.00286,0.0,0.15195,0.00694,0.0,0.04965,0.02288,0.20579,0.16226,0.04118,0.06114,0.00763,0.08392,0.05136,0.05404,0.02541,0.00275,85570082,85997297,COL24A1,0
73,chr1,88471728,88473184,0.06032,0.06059,0.00049,0.31617,0.01291,0.00168,0.00101,0.06246,0.36549,0.07664,0.02273,0.0641,0.3934,0.0818,0.02263,0.30477,0.00898,0.00366,0.2193,0.31248,0.01963,88356629,88528360,PKN2-AS1,0
74,chr1,91611811,91614426,0.01233,5e-05,0.12072,0.00432,0.05933,0.02218,0.01221,0.05406,0.00259,0.11631,0.04943,0.11905,0.00374,0.06166,0.02088,0.08111,0.32154,0.2084,0.09094,0.03608,0.00737,91524930,91730985,TGFBR3,0
75,chr1,93307842,93318021,0.02013,0.06678,0.0514,0.00742,0.04453,0.00967,0.13996,0.00551,0.00524,0.00381,0.00269,0.21947,0.10939,0.20446,0.12061,0.02224,0.00018,0.01571,0.01847,3e-05,0.01234,93293877,93400391,FNBP1L,0
76,chr1,93669317,93670835,0.36905,0.37039,0.43933,0.33846,0.25869,0.15346,0.00063,0.01641,0.0,0.01579,0.03693,0.01161,0.00059,0.0231,0.05081,0.0161,0.0692,0.11989,0.0151,0.0375,0.00913,93407524,93692897,BCAR3,0
77,chr1,93670835,93671835,0.21804,0.18782,0.23633,0.10216,0.12647,0.07782,0.00198,0.00044,0.02718,0.01444,0.02305,0.00433,0.01449,0.00651,0.01543,0.0319,0.02217,0.04001,0.00143,0.00025,0.00299,93407524,93692897,BCAR3,0
78,chr1,100771660,100778020,0.0664,0.10163,7e-05,0.00696,0.00671,0.00039,0.32111,0.06005,0.04252,0.1088,0.05479,0.1049,0.16388,0.05872,0.075,0.00551,0.00816,0.0008,0.02614,0.00825,0.00344,100744921,100830585,SLC30A7,0
79,chr1,108625549,108629090,0.00597,0.28258,0.02844,0.01227,0.07361,0.06297,0.19883,0.00694,0.00104,0.03239,0.02496,0.13935,0.18143,0.07588,0.05108,0.0032,0.01116,0.01309,0.02443,0.02037,0.00029,108593076,108677894,FAM102B,0
80,chr1,109692632,109694977,0.07584,0.24944,0.07261,0.28765,0.04533,0.12702,0.05837,0.00024,0.08991,0.00526,0.0057,0.05975,0.00362,0.09357,0.01749,0.08252,0.00353,0.01097,0.12223,0.02976,0.02536,109684559,109693942,GSTM4,0
81,chr1,109703741,109707594,0.09174,0.14066,0.13363,0.20972,0.01947,0.14036,0.00304,0.00086,0.03496,0.03618,0.00126,0.00062,0.02165,0.06729,0.00022,0.02628,0.05819,9e-05,0.1323,0.02116,0.06172,109696467,109719591,GSTM2,0
82,chr1,109720088,109722022,0.08054,0.14408,0.14988,0.30165,0.01759,0.13309,0.0058,0.0062,0.09967,0.02874,0.00214,0.00012,0.0746,0.06785,0.00052,0.05282,0.07147,0.00124,0.20987,0.06144,0.05719,109721821,109725282,GSTM5,0
83,chr1,109724022,109725022,0.10848,0.07933,0.03387,0.24101,0.01941,0.09073,0.0078,0.03694,0.03474,0.05645,0.0042,0.01435,0.08203,0.02849,0.00026,0.14466,0.00243,0.01955,0.17916,0.0617,0.0332,109721821,109725282,GSTM5,0
84,chr1,111164474,111165474,0.26574,0.02266,0.04444,0.08767,0.04259,0.03969,0.16952,0.1033,0.0672,0.11633,0.05207,0.00975,0.02944,0.00739,0.01383,0.00418,0.00032,0.00266,0.00702,4e-05,0.00416,111154440,111199907,CEPT1,0
85,chr1,111664235,111666266,0.08889,0.0274,0.01796,0.00099,0.00293,0.00712,0.21761,0.03682,0.13334,0.11947,0.0329,0.08752,0.01822,0.01278,0.05161,0.02609,0.03515,0.00162,0.00043,0.01065,0.01795,111556906,111728009,RAP1A,0
86,chr1,111670937,111679415,0.002,0.26107,0.06842,0.00015,0.00282,0.00355,0.31902,0.04635,0.00365,0.00895,0.00016,0.53534,0.26571,0.21835,0.25652,0.07663,0.09772,0.03121,0.00152,0.00407,0.01173,111556906,111728009,RAP1A,0
87,chr1,111726474,111727474,0.01342,0.08673,0.00011,0.02362,0.05732,0.00588,0.16984,0.01085,0.00148,0.11419,0.02675,0.09102,0.20185,0.00393,0.03918,0.02002,0.06214,0.00773,0.1423,0.03978,0.02339,111556906,111728009,RAP1A,0
88,chr1,112578001,112583788,0.03,0.22923,0.0404,0.09468,0.02119,0.0002,0.09753,0.00117,0.01848,0.00064,0.02414,0.08308,0.03633,0.12308,0.21631,0.00945,0.00401,0.04287,0.02656,0.08254,0.02135,112536082,112631708,ST7L,0
89,chr1,112930414,112934412,0.03423,0.1882,0.00049,0.0003,0.00107,0.00048,0.28322,0.03704,0.04242,0.02871,0.01429,0.17147,0.18411,0.21205,0.17938,0.00141,0.00295,0.00179,0.0002,2e-05,5e-05,112924404,112968780,SLC16A1,0
90,chr1,119553104,119554395,0.03905,0.06759,0.0147,0.01708,0.01127,0.00014,0.22228,0.00677,0.11757,0.09104,0.02462,0.13174,0.01973,0.02732,0.05305,0.05731,0.05042,0.01052,0.00096,0.01456,0.01163,119551689,119559094,HSD3BP3,0
91,chr1,145043550,145044550,0.04967,0.01672,0.00172,0.08381,0.01524,0.00529,0.13152,0.06576,0.28292,0.11631,0.06637,0.00779,0.03281,8e-05,0.00262,0.06166,0.00673,0.00109,0.03305,0.03796,0.00212,145034532,145043560,RBM8A,0
92,chr1,149348966,149353630,0.00193,0.13675,0.00426,0.02759,0.00318,0.00166,0.13996,0.00949,0.02738,0.00876,0.00478,0.09552,0.21296,0.10099,0.10405,0.04056,9e-05,0.0005,0.04247,0.02541,0.00016,149343212,149360988,ANP32E,0
93,chr1,149554737,149565766,0.0086,0.18246,0.00662,0.0181,0.00671,0.00137,0.27549,0.00031,0.05548,0.02862,0.00253,0.24662,0.09672,0.12602,0.18002,0.04477,0.02647,0.00174,0.00312,0.02414,0.01334,149488170,149598411,RPRD2,0
94,chr1,150184153,150185153,0.01233,0.12806,0.00555,0.00379,0.03629,0.03095,0.22827,0.031,0.03307,0.08421,0.06038,0.08132,0.09672,0.03305,0.02829,0.0001,0.01354,0.01125,0.01536,0.01059,6e-05,150174652,150194008,CDC42SE1,0
95,chr1,152067299,152069313,0.02581,0.20693,0.16148,0.02396,0.0998,0.00243,0.09224,0.05191,8e-05,0.02105,0.0084,0.0037,0.09839,0.02342,0.12902,0.05818,0.00874,0.11251,0.02446,0.00768,0.06058,152066719,152085851,LINC01527,0
96,chr1,152595209,152596438,0.09146,0.07555,0.0,0.01831,0.02048,0.00048,0.33831,0.08882,0.19945,0.198,0.06338,0.07259,0.02944,0.02591,0.06332,0.0178,0.02032,0.00047,0.0,0.01836,0.02321,152594965,152597873,S100A7,0
97,chr1,153013920,153017796,0.00069,0.08908,0.04246,0.00284,0.01902,0.0349,0.09753,0.03343,0.00079,0.0123,0.02159,0.23941,0.11663,0.18275,0.22139,0.0243,0.00522,0.0006,0.00702,0.01507,0.00208,152941988,153060229,GATAD2B,0
98,chr1,153049240,153050751,0.16633,0.20325,0.00744,0.00017,0.08359,0.00905,0.00105,0.1044,0.19775,0.02095,0.0696,0.13473,0.22596,0.03305,0.0958,0.00881,0.04184,0.00025,0.0851,0.00894,0.03003,152941988,153060229,GATAD2B,0
