,CHR,START,END,SYMBOL,WestEurasia-Oceania,WestEurasia-America,WestEurasia-Africa,WestEurasia-EastAsia,WestEurasia-SouthAsia,WestEurasia-CentralAsiaSiberia,Oceania-America,Oceania-Africa,Oceania-EastAsia,Oceania-SouthAsia,Oceania-CentralAsiaSiberia,America-Africa,America-EastAsia,America-SouthAsia,America-CentralAsiaSiberia,Africa-EastAsia,Africa-SouthAsia,Africa-CentralAsiaSiberia,EastAsia-SouthAsia,EastAsia-CentralAsiaSiberia,SouthAsia-CentralAsiaSiberia
25,chr1,93307842,93318021,FNBP1L,0.01031,0.01324,0.01875,0.02392,0.0208,0.13057,0.02696,0.02382,0.03483,0.03261,0.13145,0.0362,0.02081,0.02098,0.15826,0.06318,0.05663,0.0805,0.01213,0.23201,0.2167
26,chr1,111670937,111679415,RAP1A,0.01339,0.01099,0.01271,0.03928,0.02138,0.26623,0.02485,0.01539,0.08455,0.01885,0.29213,0.01836,0.0621,0.02604,0.3335,0.08095,0.01544,0.27193,0.11062,0.54477,0.23037
27,chr1,144416000,144502839,NBPF20,0.1064,0.06211,0.19018,0.01146,0.03522,0.01002,0.03532,0.03026,0.14532,0.08849,0.20824,0.0628,0.09454,0.0412,0.13886,0.22446,0.15324,0.26005,0.06072,0.0176,0.06293
28,chr1,145183493,145250686,LOC124905729,0.10933,0.06289,0.18598,0.00969,0.0391,0.01014,0.03622,0.02763,0.12989,0.08742,0.21352,0.05888,0.08146,0.03802,0.13439,0.19801,0.14255,0.25471,0.05384,0.01606,0.06548
29,chr1,147813843,147824531,NBPF12,0.10803,0.0645,0.18961,0.0103,0.03568,0.01006,0.03414,0.02999,0.13425,0.09167,0.21398,0.05934,0.08749,0.04344,0.1398,0.20843,0.15402,0.26197,0.05367,0.01651,0.06119
30,chr1,149511187,149530160,RPRD2,0.01117,0.01211,0.01103,0.00843,0.04962,0.13506,0.02879,0.01561,0.015,0.04562,0.15281,0.02405,0.01729,0.07419,0.20931,0.0134,0.03876,0.13102,0.05357,0.15568,0.05171
31,chr1,149554737,149565766,RPRD2,0.03764,0.01411,0.0095,0.01173,0.02001,0.17955,0.0866,0.0394,0.07065,0.022,0.10213,0.02485,0.01528,0.04537,0.2909,0.01913,0.01929,0.19448,0.04017,0.26166,0.13947
32,chr1,153199010,153216776,NUP210L,0.02399,0.0146,0.01205,0.01137,0.00948,0.10748,0.02653,0.02102,0.02027,0.03998,0.25272,0.01663,0.0155,0.02592,0.20307,0.01151,0.01945,0.17536,0.01805,0.16718,0.12288
33,chr1,153239566,153252473,NUP210L,0.01096,0.01083,0.01517,0.01479,0.01322,0.14385,0.02312,0.02547,0.01746,0.01789,0.15142,0.02291,0.02081,0.02098,0.13595,0.03764,0.03376,0.09951,0.01213,0.20248,0.18852
34,chr1,153199010,153216776,RPS7P2,0.02399,0.0146,0.01205,0.01137,0.00948,0.10748,0.02653,0.02102,0.02027,0.03998,0.25272,0.01663,0.0155,0.02592,0.20307,0.01151,0.01945,0.17536,0.01805,0.16718,0.12288
35,chr1,153239566,153252473,MIR5698,0.01096,0.01083,0.01517,0.01479,0.01322,0.14385,0.02312,0.02547,0.01746,0.01789,0.15142,0.02291,0.02081,0.02098,0.13595,0.03764,0.03376,0.09951,0.01213,0.20248,0.18852
36,chr1,168602705,168615424,NME7,0.2358,0.21268,0.06936,0.12015,0.03022,0.09041,0.0,0.11945,0.11017,0.25088,0.15825,0.10981,0.10079,0.23171,0.14815,0.01758,0.02728,0.01767,0.05967,0.0142,0.05171
37,chr1,168616996,168625289,NME7,0.23084,0.2081,0.05989,0.12188,0.02535,0.07242,0.0,0.11771,0.11017,0.23592,0.14466,0.10823,0.10079,0.2177,0.13556,0.02092,0.02525,0.01614,0.0658,0.01711,0.04034
38,chr1,182278838,182288237,SHCBP1L,0.03704,0.03406,0.00969,0.01273,0.0277,0.16465,0.0,0.074,0.08065,0.12165,0.34935,0.06874,0.07421,0.11224,0.32884,0.01288,0.02578,0.17208,0.01791,0.14335,0.09836
39,chr1,196196607,196205851,CFHR2,0.04824,0.09017,0.00928,0.08436,0.00925,0.05023,0.33286,0.04829,0.25642,0.06595,0.20506,0.12476,0.02381,0.1899,0.04353,0.1017,0.01274,0.06821,0.1311,0.0166,0.08825
40,chr1,215571544,215584201,USH2A,0.04909,0.05572,0.01342,0.01239,0.00958,0.03091,0.26225,0.03847,0.09878,0.07951,0.17893,0.12195,0.06595,0.08824,0.0535,0.03173,0.02256,0.07225,0.01371,0.02667,0.0397
41,chr1,234802106,234810374,TBCE,0.02584,0.01175,0.2386,0.02081,0.07224,0.02641,0.0553,0.18449,0.07485,0.18214,0.10165,0.34083,0.02016,0.07116,0.03274,0.38487,0.56712,0.4432,0.03739,0.01464,0.03231
42,chr1,244109432,244120542,DESI2,0.05384,0.01155,0.03784,0.02142,0.04342,0.13135,0.09602,0.01926,0.02827,0.01819,0.04707,0.055,0.03403,0.06379,0.20307,0.01517,0.01298,0.06325,0.01804,0.08777,0.0576
43,chr1,244109432,244120542,RPL37P8,0.05384,0.01155,0.03784,0.02142,0.04342,0.13135,0.09602,0.01926,0.02827,0.01819,0.04707,0.055,0.03403,0.06379,0.20307,0.01517,0.01298,0.06325,0.01804,0.08777,0.0576
44,chr2,23939695,23949047,ATAD2B,0.01031,0.0201,0.01806,0.01009,0.0113,0.13131,0.03922,0.0234,0.01563,0.01816,0.13966,0.05269,0.03554,0.0416,0.20732,0.01468,0.015,0.08533,0.01197,0.11569,0.11343
45,chr2,23992908,24005872,UBXN2A,0.0152,0.02652,0.01082,0.03108,0.01628,0.19233,0.07304,0.03007,0.02083,0.01619,0.26471,0.02501,0.10872,0.07187,0.11265,0.0545,0.03144,0.17431,0.01741,0.35111,0.28663
46,chr2,74323322,74333680,SLC4A5,0.06697,0.03568,0.01705,0.08223,0.01768,0.0446,0.03292,0.05171,0.01434,0.05225,0.24807,0.02602,0.02298,0.02651,0.17213,0.05101,0.01267,0.1023,0.05026,0.24689,0.10585
47,chr2,74323322,74333680,RNU6-542P,0.06697,0.03568,0.01705,0.08223,0.01768,0.0446,0.03292,0.05171,0.01434,0.05225,0.24807,0.02602,0.02298,0.02651,0.17213,0.05101,0.01267,0.1023,0.05026,0.24689,0.10585
48,chr2,96366841,96375202,GPAT2,0.02015,0.05065,0.1004,0.02739,0.07207,0.01049,0.18469,0.07034,0.08527,0.04702,0.04399,0.33693,0.02758,0.3067,0.08229,0.24044,0.01796,0.15405,0.19994,0.02889,0.12068
49,chr2,96366841,96375202,ANKRD36C,0.02015,0.05065,0.1004,0.02739,0.07207,0.01049,0.18469,0.07034,0.08527,0.04702,0.04399,0.33693,0.02758,0.3067,0.08229,0.24044,0.01796,0.15405,0.19994,0.02889,0.12068
50,chr2,97993888,98021120,ANKRD36B,0.03371,0.01227,0.0604,0.00861,0.06822,0.0111,0.13193,0.02102,0.08696,0.02807,0.06261,0.15761,0.0176,0.23851,0.03872,0.13493,0.01302,0.09077,0.17946,0.01948,0.1328
51,chr2,130521516,130529715,POTEF,0.03681,0.13383,0.03693,0.02589,0.00903,0.04588,0.10007,0.01581,0.01429,0.0629,0.02002,0.09984,0.0365,0.2458,0.10343,0.01162,0.05469,0.01654,0.02945,0.01388,0.08042
52,chr2,135406063,135419347,MAP3K19,0.01883,0.01158,0.13891,0.0345,0.01252,0.04865,0.04971,0.09663,0.0935,0.04912,0.14557,0.15624,0.0333,0.01809,0.06564,0.25781,0.19083,0.27358,0.02454,0.01791,0.0458
53,chr2,159324801,159336564,OR7E28P,0.01616,0.0274,0.038,0.04569,0.01761,0.03135,0.03086,0.13309,0.02949,0.01613,0.02937,0.22106,0.0177,0.02925,0.02131,0.20664,0.1847,0.24182,0.0337,0.01621,0.03
54,chr2,171849203,171860814,METTL8,0.15801,0.01806,0.01719,0.11571,0.04999,0.04296,0.22351,0.18084,0.05158,0.10103,0.1184,0.01649,0.10008,0.03454,0.03861,0.09663,0.03211,0.03134,0.0328,0.03811,0.01548
55,chr2,171849203,171860814,RPS26P20,0.15801,0.01806,0.01719,0.11571,0.04999,0.04296,0.22351,0.18084,0.05158,0.10103,0.1184,0.01649,0.10008,0.03454,0.03861,0.09663,0.03211,0.03134,0.0328,0.03811,0.01548
56,chr2,179688499,179701803,SESTD1,0.1212,0.18982,0.01145,0.10443,0.01088,0.03365,0.08232,0.197,0.02209,0.19605,0.07853,0.3068,0.08276,0.31081,0.19298,0.15287,0.01273,0.06377,0.14777,0.03715,0.06165
57,chr2,234128741,234138083,UGT1A,0.02707,0.01792,0.07776,0.01601,0.08014,0.22404,0.02485,0.03027,0.01749,0.03288,0.15705,0.04187,0.01529,0.04537,0.1875,0.04625,0.0127,0.07469,0.04905,0.18918,0.0732
58,chr2,234128741,234138083,UGT1A8,0.02707,0.01792,0.07776,0.01601,0.08014,0.22404,0.02485,0.03027,0.01749,0.03288,0.15705,0.04187,0.01529,0.04537,0.1875,0.04625,0.0127,0.07469,0.04905,0.18918,0.0732
59,chr2,234128741,234138083,UGT1A10,0.02707,0.01792,0.07776,0.01601,0.08014,0.22404,0.02485,0.03027,0.01749,0.03288,0.15705,0.04187,0.01529,0.04537,0.1875,0.04625,0.0127,0.07469,0.04905,0.18918,0.0732
60,chr2,234128741,234138083,UGT1A13P,0.02707,0.01792,0.07776,0.01601,0.08014,0.22404,0.02485,0.03027,0.01749,0.03288,0.15705,0.04187,0.01529,0.04537,0.1875,0.04625,0.0127,0.07469,0.04905,0.18918,0.0732
61,chr3,12631331,12641765,RAF1,0.01566,0.02595,0.02638,0.01354,0.00941,0.11322,0.07743,0.01798,0.01437,0.01979,0.08895,0.08171,0.05465,0.04429,0.23634,0.01548,0.02573,0.05891,0.01456,0.08613,0.11967
62,chr3,12631331,12641765,LOC124906355,0.01566,0.02595,0.02638,0.01354,0.00941,0.11322,0.07743,0.01798,0.01437,0.01979,0.08895,0.08171,0.05465,0.04429,0.23634,0.01548,0.02573,0.05891,0.01456,0.08613,0.11967
63,chr3,17632697,17641096,TBC1D5,0.029,0.11031,0.01118,0.06892,0.01357,0.01268,0.08457,0.05599,0.02308,0.06569,0.06588,0.18293,0.03507,0.20331,0.21588,0.10387,0.01306,0.01476,0.11596,0.10595,0.01554
64,chr3,17693292,17704384,TBC1D5,0.03621,0.0302,0.01175,0.0444,0.00904,0.06337,0.02303,0.03136,0.01434,0.05123,0.2163,0.02779,0.01569,0.04498,0.20307,0.03101,0.01656,0.11095,0.05228,0.20133,0.0803
65,chr3,17693292,17704384,TRC-GCA25-1,0.03621,0.0302,0.01175,0.0444,0.00904,0.06337,0.02303,0.03136,0.01434,0.05123,0.2163,0.02779,0.01569,0.04498,0.20307,0.03101,0.01656,0.11095,0.05228,0.20133,0.0803
66,chr3,32676085,32685107,CNOT10,0.012,0.01145,0.01536,0.00933,0.01475,0.13056,0.02312,0.01768,0.02115,0.01789,0.17561,0.02088,0.01921,0.02098,0.15826,0.02929,0.0127,0.22294,0.02798,0.13282,0.2167
67,chr3,46772136,46814357,PRSS43P,0.0489,0.02617,0.2322,0.06752,0.04404,0.05198,0.05,0.31739,0.0,0.02632,0.0,0.25864,0.05,0.02098,0.05,0.39488,0.34678,0.33236,0.02632,0.0,0.02632
68,chr3,47313849,47327756,KLHL18,0.0,0.09011,0.04029,0.0491,0.15687,0.21147,0.07857,0.03368,0.03731,0.10819,0.15825,0.02567,0.01875,0.03625,0.06047,0.01272,0.07098,0.1057,0.05732,0.08691,0.01858
69,chr3,48005474,48014014,MAP4,0.01749,0.04341,0.02681,0.0109,0.00906,0.09601,0.12714,0.01702,0.01603,0.02629,0.06457,0.11047,0.07421,0.06604,0.2428,0.01885,0.03287,0.04425,0.01526,0.07879,0.11342
70,chr3,48087385,48098397,MAP4,0.05624,0.02892,0.03986,0.00866,0.00963,0.05825,0.05,0.15947,0.07143,0.09522,0.23216,0.10383,0.03554,0.05087,0.15826,0.04933,0.03567,0.0177,0.01371,0.07496,0.05829
71,chr3,50727754,50749281,DOCK3,0.0133,0.05005,0.01871,0.01173,0.04145,0.0579,0.12045,0.01689,0.02806,0.03086,0.05157,0.11645,0.04736,0.17104,0.23634,0.0377,0.0199,0.03351,0.07202,0.09935,0.01834
72,chr3,56614303,56626131,CCDC66,0.04167,0.12192,0.00877,0.23753,0.01474,0.08333,0.06028,0.06878,0.11629,0.03261,0.02949,0.14179,0.04271,0.10456,0.03385,0.21207,0.02632,0.10822,0.18192,0.08761,0.06537
73,chr3,57341152,57349602,DNAH12,0.01162,0.02287,0.00894,0.00849,0.01105,0.11749,0.05547,0.01611,0.01667,0.02396,0.10714,0.0362,0.02935,0.02585,0.20732,0.01202,0.01642,0.1224,0.01338,0.1357,0.16362
74,chr3,75795809,75817231,ZNF717,0.081,0.01839,0.02751,0.19198,0.01164,0.01808,0.05755,0.03625,0.03972,0.13676,0.06849,0.01756,0.10802,0.04005,0.0214,0.1007,0.04876,0.01714,0.23093,0.13623,0.04124
75,chr3,117662169,117674357,ZBTB20,0.36589,0.03281,0.26061,0.04746,0.0173,0.03756,0.36765,0.04455,0.44888,0.30536,0.40048,0.24283,0.0,0.07692,0.0,0.33312,0.18815,0.27668,0.10391,0.0,0.08653
76,chr3,152672489,152690469,RNF13,0.02276,0.02895,0.0129,0.00866,0.07474,0.06763,0.1153,0.02005,0.02857,0.0413,0.04684,0.07012,0.04812,0.20537,0.21892,0.01455,0.06547,0.06617,0.09104,0.08912,0.0154
77,chr3,152672489,152690469,NPM1P29,0.02276,0.02895,0.0129,0.00866,0.07474,0.06763,0.1153,0.02005,0.02857,0.0413,0.04684,0.07012,0.04812,0.20537,0.21892,0.01455,0.06547,0.06617,0.09104,0.08912,0.0154
78,chr3,198121048,198134682,ACAP2,0.01483,0.01324,0.02201,0.02392,0.01046,0.10653,0.02312,0.01768,0.01746,0.02886,0.15142,0.02088,0.02081,0.02585,0.13595,0.01157,0.03985,0.1942,0.04241,0.20248,0.09312
79,chr3,199178527,199188073,RNF168,0.02142,0.01615,0.01342,0.01273,0.0176,0.08935,0.06708,0.01798,0.04615,0.01677,0.07012,0.03922,0.01555,0.04924,0.20211,0.0305,0.01339,0.08146,0.03872,0.1513,0.07181
80,chr3,201021991,201039020,OR4F5,0.04332,0.03239,0.11854,0.02126,0.01829,0.02807,0.02495,0.27083,0.02388,0.0311,0.02975,0.24517,0.01891,0.02442,0.02424,0.20892,0.2034,0.2575,0.0122,0.01456,0.01809
81,chr4,8399460,8408332,ACOX3,0.04451,0.02063,0.01679,0.01094,0.00909,0.08676,0.12045,0.10228,0.07682,0.06051,0.26144,0.01742,0.01996,0.02925,0.09217,0.01339,0.02007,0.08504,0.01371,0.09373,0.11756
82,chr4,9470973,9480013,DEFB131A,0.01059,0.02645,0.10775,0.02496,0.01082,0.03187,0.07875,0.19961,0.03638,0.0179,0.08599,0.28651,0.01601,0.05302,0.02158,0.26704,0.24138,0.32327,0.02839,0.01576,0.06174
83,chr4,9470973,9480013,LOC124900662,0.01059,0.02645,0.10775,0.02496,0.01082,0.03187,0.07875,0.19961,0.03638,0.0179,0.08599,0.28651,0.01601,0.05302,0.02158,0.26704,0.24138,0.32327,0.02839,0.01576,0.06174
84,chr4,9470973,9480013,OR7E85P,0.01059,0.02645,0.10775,0.02496,0.01082,0.03187,0.07875,0.19961,0.03638,0.0179,0.08599,0.28651,0.01601,0.05302,0.02158,0.26704,0.24138,0.32327,0.02839,0.01576,0.06174
85,chr4,39597566,39607104,SMIM14,0.0324,0.01942,0.02329,0.01009,0.03429,0.13751,0.10118,0.01741,0.05542,0.01615,0.08265,0.06525,0.01959,0.08643,0.28457,0.03928,0.01445,0.09466,0.05505,0.19684,0.07621
86,chr4,39691374,39701636,UBE2K,0.01077,0.02158,0.01091,0.01635,0.01475,0.13056,0.06151,0.01594,0.03483,0.03261,0.13145,0.05006,0.02174,0.02632,0.21722,0.03764,0.03376,0.12208,0.01213,0.23201,0.2167
87,chr4,39913325,39925144,PDS5A,0.01031,0.01143,0.01291,0.01402,0.03147,0.18348,0.02354,0.01894,0.02083,0.03527,0.17954,0.01742,0.02682,0.02925,0.157,0.032,0.02007,0.14554,0.06258,0.25213,0.09366
88,chr4,71978928,71991570,UGT2B17,0.11749,0.02231,0.01584,0.19329,0.15865,0.11511,0.08967,0.1905,0.02213,0.01644,0.01962,0.05596,0.1107,0.10197,0.07782,0.24974,0.23519,0.17747,0.01887,0.02051,0.01556
89,chr4,72079101,72088338,UGT2B15,0.02006,0.03312,0.01683,0.13033,0.03641,0.10476,0.02682,0.05691,0.07431,0.01941,0.07626,0.09213,0.05391,0.01725,0.06041,0.22139,0.08664,0.20341,0.05162,0.01374,0.04912
90,chr4,86315197,86335911,LIN54,0.0112,0.02452,0.01145,0.02294,0.02027,0.09288,0.03449,0.01573,0.02158,0.03648,0.15552,0.0235,0.0155,0.07518,0.24002,0.01644,0.03994,0.15223,0.06642,0.19684,0.06467
91,chr4,86315197,86335911,RNU6-615P,0.0112,0.02452,0.01145,0.02294,0.02027,0.09288,0.03449,0.01573,0.02158,0.03648,0.15552,0.0235,0.0155,0.07518,0.24002,0.01644,0.03994,0.15223,0.06642,0.19684,0.06467
92,chr4,90208324,90217102,C4orf36,0.01585,0.0229,0.01224,0.00939,0.03687,0.17267,0.02454,0.03624,0.01667,0.02307,0.12854,0.05072,0.02298,0.01897,0.10338,0.0202,0.06391,0.23327,0.0308,0.16083,0.0793
93,chr4,91497917,91521261,ABCG2,0.0332,0.06488,0.01118,0.13616,0.04209,0.05435,0.22633,0.03027,0.29056,0.14149,0.18554,0.11415,0.02276,0.02604,0.02384,0.19082,0.07124,0.09382,0.04884,0.03382,0.01768
94,chr4,94737105,94748858,CCSER1,0.16059,0.08146,0.00887,0.16393,0.01118,0.07078,0.04818,0.21552,0.0183,0.17724,0.06197,0.11415,0.02276,0.08636,0.02384,0.19082,0.01614,0.09382,0.1487,0.03382,0.06698
95,chr4,106275232,106289118,SLC9B1,0.0389,0.06579,0.01418,0.03285,0.01712,0.01784,0.24515,0.08849,0.12101,0.02008,0.10779,0.06036,0.02812,0.09695,0.05815,0.01949,0.03581,0.01532,0.05891,0.01747,0.04125
96,chr4,106275232,106289118,ACTR3BP4,0.0389,0.06579,0.01418,0.03285,0.01712,0.01784,0.24515,0.08849,0.12101,0.02008,0.10779,0.06036,0.02812,0.09695,0.05815,0.01949,0.03581,0.01532,0.05891,0.01747,0.04125
97,chr4,193542771,193552655,DUX4,0.02166,0.0394,0.06855,0.12546,0.02809,0.01054,0.02937,0.12481,0.0653,0.01631,0.04341,0.16753,0.04222,0.02315,0.08228,0.25876,0.1604,0.06612,0.07384,0.13662,0.05074
98,chr5,693734,702322,ZDHHC11,0.0453,0.02659,0.09654,0.02299,0.00901,0.01027,0.0306,0.22261,0.10979,0.06616,0.07185,0.17374,0.07519,0.04058,0.04439,0.04583,0.10393,0.11051,0.02725,0.03232,0.01568
99,chr5,70823885,70837541,GUSBP15,0.13434,0.04499,0.01448,0.03033,0.01011,0.06579,0.06036,0.26181,0.07127,0.222,0.03987,0.10754,0.01902,0.08386,0.02322,0.06577,0.01494,0.1354,0.04747,0.02516,0.1077
100,chr5,70823885,70837541,SMN2,0.13434,0.04499,0.01448,0.03033,0.01011,0.06579,0.06036,0.26181,0.07127,0.222,0.03987,0.10754,0.01902,0.08386,0.02322,0.06577,0.01494,0.1354,0.04747,0.02516,0.1077
101,chr5,95703444,95716498,MCTP1,0.04565,0.10057,0.04645,0.01867,0.0685,0.05683,0.05746,0.01596,0.02761,0.01682,0.16277,0.05461,0.08545,0.05556,0.25775,0.02193,0.01572,0.16325,0.03763,0.10757,0.20775
102,chr5,95703444,95716498,LOC105379085,0.04565,0.10057,0.04645,0.01867,0.0685,0.05683,0.05746,0.01596,0.02761,0.01682,0.16277,0.05461,0.08545,0.05556,0.25775,0.02193,0.01572,0.16325,0.03763,0.10757,0.20775
103,chr5,119443321,119456230,DTWD2,0.01521,0.01401,0.01413,0.04196,0.01629,0.08582,0.04444,0.03899,0.08839,0.01621,0.06832,0.01643,0.02988,0.03888,0.14687,0.02597,0.03994,0.15161,0.09111,0.24446,0.05981
104,chr5,134875052,134883430,CDKL3,0.0118,0.05045,0.01644,0.02103,0.01912,0.07632,0.07431,0.01754,0.01922,0.0364,0.12014,0.04412,0.03554,0.1207,0.26297,0.01212,0.05094,0.14837,0.06058,0.16425,0.04603
105,chr5,138839822,138851584,CDC25C,0.01031,0.01893,0.05649,0.01009,0.06291,0.02498,0.03292,0.09677,0.01562,0.06246,0.03549,0.15789,0.01858,0.03214,0.02198,0.08859,0.20346,0.1595,0.04934,0.0214,0.02584
106,chr5,147546144,147554750,PPP2R2B,0.01259,0.04379,0.00885,0.04503,0.01677,0.14947,0.08303,0.01933,0.05729,0.01789,0.17561,0.05072,0.01518,0.10226,0.05448,0.04257,0.02392,0.14945,0.07883,0.05015,0.2167
