,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia,i
342,1,144612537,144622084,0.01545,0.01244,0.13363,0.01101,0.05203,0.03912,0.01358,0.1042,0.01752,0.03666,0.02071,0.20018,0.01506,0.08106,0.0339,0.11049,0.05615,0.04976,0.04997,0.0283,0.01599,342.0
348,1,144906613,144908385,0.04507,0.01865,0.02031,0.06374,0.01938,0.0426,0.02256,0.02214,0.0225,0.11648,0.17329,0.01428,0.04447,0.06046,0.10417,0.04505,0.07245,0.10489,0.17854,0.21593,0.02072,348.0
349,1,144908385,144910495,0.04507,0.01865,0.02031,0.06374,0.01938,0.0426,0.02256,0.02214,0.0225,0.11648,0.17329,0.01428,0.04447,0.06046,0.10417,0.04505,0.07245,0.10489,0.17854,0.21593,0.02072,349.0
350,1,144913569,144931782,0.04507,0.01865,0.02031,0.06374,0.01938,0.0426,0.02256,0.02214,0.0225,0.11648,0.17329,0.01428,0.04447,0.06046,0.10417,0.04505,0.07245,0.10489,0.17854,0.21593,0.02072,350.0
351,1,144932302,144948483,0.04507,0.01865,0.02031,0.06374,0.01938,0.0426,0.02256,0.02214,0.0225,0.11648,0.17329,0.01428,0.04447,0.06046,0.10417,0.04505,0.07245,0.10489,0.17854,0.21593,0.02072,351.0
359,1,146352157,146367582,0.01158,0.00869,0.041,0.01949,0.19025,0.01283,0.01348,0.06636,0.03706,0.24503,0.02437,0.05225,0.02748,0.22508,0.01731,0.02594,0.12852,0.02617,0.16962,0.01552,0.15505,359.0
360,1,146367682,146373564,0.01189,0.00848,0.04221,0.02927,0.20337,0.0125,0.01472,0.06882,0.05116,0.25546,0.02437,0.04999,0.03605,0.23125,0.01543,0.02076,0.13835,0.02735,0.14357,0.02058,0.16791,360.0
361,1,146374569,146466519,0.00964,0.02151,0.01697,0.01526,0.1054,0.01062,0.01957,0.01909,0.01844,0.15744,0.01786,0.01478,0.01547,0.17361,0.03679,0.01963,0.2173,0.03289,0.1644,0.02806,0.11308,361.0
385,1,152759388,152771208,0.06921,0.03789,0.17253,0.21093,0.17121,0.15306,0.02014,0.08228,0.14254,0.09705,0.03808,0.11956,0.17762,0.13115,0.07267,0.05518,0.02368,0.02725,0.04545,0.07142,0.0385,385.0
391,1,157173514,157175242,0.01599,0.00848,0.32564,0.01102,0.12109,0.15068,0.0205,0.44577,0.01889,0.21378,0.19904,0.34682,0.01584,0.13621,0.14392,0.37269,0.09121,0.06034,0.16535,0.14117,0.01556,391.0
409,1,161399282,161452584,0.03767,0.15001,0.0108,0.01555,0.07499,0.01302,0.06613,0.05649,0.02309,0.18906,0.02537,0.16398,0.0952,0.30108,0.12683,0.0321,0.0869,0.0242,0.1368,0.01464,0.13459,409.0
427,1,169216544,169254678,0.02341,0.07891,0.07725,0.23212,0.20789,0.10017,0.03543,0.04384,0.21958,0.19452,0.04873,0.0145,0.11593,0.09762,0.01243,0.13607,0.11456,0.0139,0.02999,0.10482,0.08661,427.0
443,1,174794556,174803623,0.06402,0.04157,0.01875,0.08839,0.07278,0.03053,0.19143,0.03421,0.02036,0.24491,0.02008,0.10845,0.26401,0.04692,0.12317,0.06454,0.19997,0.01593,0.37064,0.03778,0.16924,443.0
455,1,179328832,179334176,0.00964,0.2375,0.03679,0.03489,0.03355,0.02821,0.23965,0.04761,0.04615,0.04509,0.02848,0.29892,0.2845,0.27377,0.32501,0.0,0.0,0.02174,0.0,0.02174,0.02174,455.0
469,1,185009435,185011771,0.1446,0.04683,0.01796,0.02184,0.21185,0.12439,0.04491,0.08133,0.07163,0.02284,0.01266,0.02328,0.02052,0.08262,0.03427,0.02,0.14608,0.06516,0.13285,0.05671,0.02638,469.0
473,1,187461038,187466927,0.08518,0.00923,0.07732,0.17236,0.09309,0.07085,0.07822,0.01678,0.36894,0.06449,0.01273,0.07601,0.187,0.09661,0.06038,0.34681,0.0578,0.0164,0.35633,0.33585,0.03281,473.0
474,1,187715163,187722772,0.09439,0.32504,0.25982,0.35224,0.37261,0.42197,0.13645,0.11114,0.22748,0.26734,0.23966,0.01567,0.03827,0.06339,0.02843,0.06674,0.11107,0.0468,0.04167,0.01642,0.03644,474.0
508,1,198304282,198311495,0.02292,0.02086,0.20415,0.01964,0.12366,0.02966,0.06529,0.32871,0.01598,0.2469,0.07978,0.13804,0.05606,0.07598,0.01227,0.30066,0.03278,0.11641,0.23226,0.06718,0.0602,508.0
510,1,199109343,199114389,0.02555,0.16107,0.03611,0.08604,0.08172,0.12233,0.27987,0.01869,0.07961,0.07691,0.10027,0.2986,0.4043,0.39119,0.49212,0.07406,0.07245,0.08569,0.0,0.0,0.0,510.0
522,1,204380861,204383316,0.08415,0.2387,0.04436,0.09138,0.13873,0.12655,0.07677,0.02319,0.01588,0.02793,0.02216,0.10787,0.07042,0.03283,0.03578,0.02778,0.05595,0.04345,0.03361,0.02357,0.01478,522.0
527,1,206280873,206290247,0.03273,0.02152,0.0128,0.01648,0.05745,0.02352,0.18013,0.03042,0.12079,0.25817,0.11178,0.08128,0.01536,0.09065,0.01237,0.05883,0.17148,0.05338,0.08194,0.0162,0.03347,527.0
541,1,210075855,210086936,0.01271,0.02709,0.02802,0.01076,0.14666,0.05966,0.05293,0.06187,0.01728,0.24269,0.09757,0.01412,0.03878,0.08944,0.01904,0.05065,0.10596,0.02044,0.22203,0.07217,0.05329,541.0
543,1,210722153,210725220,0.04317,0.01001,0.17461,0.20727,0.25678,0.23891,0.03272,0.07305,0.09576,0.13809,0.10763,0.15145,0.18529,0.23474,0.19577,0.02125,0.03503,0.01897,0.02878,0.01542,0.01684,543.0
548,1,215491381,215495998,0.01072,0.02914,0.16792,0.06093,0.50656,0.10902,0.02564,0.19374,0.08744,0.53659,0.11636,0.27738,0.15803,0.62806,0.17079,0.04933,0.18912,0.02017,0.31809,0.02143,0.22541,548.0
598,1,232458441,232460743,0.01062,0.05407,0.08322,0.03003,0.02807,0.04284,0.08524,0.1381,0.02968,0.05474,0.06685,0.0243,0.14627,0.01886,0.01173,0.22117,0.0478,0.02723,0.11488,0.1181,0.01584,598.0
616,1,240392796,240395101,0.00981,0.0302,0.058,0.05003,0.1384,0.01012,0.0272,0.06421,0.05557,0.23363,0.01189,0.02293,0.02116,0.30011,0.02381,0.01967,0.48717,0.05628,0.42674,0.04868,0.22375,616.0
661,10,4290029,4293353,0.02162,0.30085,0.03508,0.01705,0.01366,0.00851,0.35492,0.03038,0.06523,0.02237,0.02077,0.33893,0.19123,0.27279,0.27777,0.09321,0.06106,0.03463,0.0484,0.02284,0.01664,661.0
672,10,7076851,7080174,0.03253,0.26747,0.14302,0.22584,0.30442,0.1851,0.17697,0.08243,0.17366,0.27959,0.09674,0.03729,0.0153,0.06356,0.02764,0.05072,0.1517,0.01425,0.08429,0.03422,0.10394,672.0
710,10,17310509,17316749,0.00925,0.05573,0.14829,0.0362,0.65277,0.03769,0.06848,0.17247,0.05313,0.73299,0.04567,0.3379,0.18946,0.91166,0.14153,0.06619,0.37393,0.05821,0.58991,0.01429,0.51183,710.0
740,10,24377071,24386659,0.06614,0.39617,0.21397,0.27826,0.3594,0.40611,0.23689,0.09225,0.16007,0.26362,0.24441,0.06382,0.02217,0.03859,0.01117,0.03827,0.13173,0.06725,0.08429,0.02322,0.03645,740.0
745,10,26998751,27003531,0.07186,0.09632,0.10078,0.30359,0.02494,0.08006,0.01342,0.01825,0.13174,0.12898,0.01185,0.01446,0.11326,0.15275,0.01192,0.11854,0.19927,0.0159,0.44027,0.12547,0.13156,745.0
748,10,27638079,27642286,0.01356,0.04553,0.15889,0.47682,0.0181,0.20641,0.02639,0.11978,0.42983,0.01703,0.1458,0.05618,0.30749,0.02301,0.08024,0.16047,0.10626,0.01695,0.41508,0.10579,0.11465,748.0
752,10,28662871,28665647,0.01092,0.02314,0.02188,0.01114,0.12122,0.05275,0.01787,0.04145,0.02221,0.17895,0.07472,0.07274,0.03988,0.24689,0.11943,0.02693,0.08972,0.02187,0.14377,0.04254,0.04006,752.0
796,10,46219371,46221197,0.0122,0.09779,0.01066,0.06831,0.03694,0.09653,0.06674,0.02216,0.11583,0.06873,0.14851,0.10229,0.241,0.18017,0.30933,0.0934,0.04749,0.11063,0.04545,0.0,0.04545,796.0
797,10,46301582,46308133,0.04018,0.036,0.01034,0.05338,0.18039,0.01549,0.06163,0.0572,0.01991,0.36712,0.02083,0.03013,0.06198,0.0186,0.04711,0.08398,0.22489,0.02442,0.4054,0.03493,0.26053,797.0
804,10,47979955,47981914,0.01,0.06833,0.04164,0.03835,0.12206,0.02661,0.1024,0.07193,0.06948,0.20762,0.0456,0.01701,0.01909,0.06027,0.03264,0.01972,0.10072,0.02075,0.13036,0.01991,0.13513,804.0
819,10,54015196,54018601,0.04802,0.14541,0.06601,0.13232,0.01562,0.04156,0.05329,0.01977,0.06886,0.09632,0.01225,0.03128,0.01674,0.22987,0.05984,0.04987,0.14078,0.02122,0.26743,0.07143,0.08011,819.0
823,10,54696219,54814619,0.02332,0.17262,0.04787,0.0463,0.01595,0.05359,0.10688,0.02327,0.02386,0.05575,0.0198,0.06601,0.06612,0.25575,0.06602,0.01961,0.11006,0.01371,0.11258,0.0143,0.09704,823.0
858,10,65502924,65511792,0.01412,0.03188,0.08142,0.09659,0.0917,0.13744,0.06342,0.07706,0.10205,0.09832,0.13033,0.19692,0.22022,0.21144,0.28428,0.03704,0.03704,0.03704,0.0,0.0,0.0,858.0
861,10,66398366,66405733,0.0321,0.03557,0.20279,0.13292,0.4592,0.12435,0.0122,0.1183,0.06811,0.3936,0.04683,0.10424,0.05905,0.36184,0.04104,0.02724,0.21433,0.03478,0.24934,0.01734,0.26412,861.0
863,10,67306569,67315955,0.01273,0.18496,0.03349,0.01036,0.01467,0.01149,0.19511,0.07446,0.01841,0.03625,0.02764,0.41645,0.23373,0.31107,0.27435,0.05554,0.02961,0.02692,0.03001,0.01904,0.01509,863.0
882,10,71278625,71294318,0.00886,0.01336,0.1051,0.0133,0.21608,0.20258,0.01693,0.12181,0.01943,0.25828,0.2005,0.16973,0.01473,0.32657,0.25784,0.15574,0.05117,0.02838,0.31601,0.21406,0.01679,882.0
908,10,84126879,84130920,0.03877,0.44065,0.01027,0.35323,0.06991,0.12289,0.28789,0.04938,0.22613,0.02461,0.03954,0.40962,0.02308,0.19204,0.165,0.39794,0.0967,0.11769,0.15842,0.10484,0.01914,908.0
921,10,89229326,89260770,0.05059,0.20117,0.05323,0.02853,0.23104,0.11286,0.07957,0.01582,0.01817,0.12275,0.03005,0.06078,0.09115,0.01883,0.02498,0.02445,0.10337,0.02379,0.1501,0.04077,0.04343,921.0
925,10,91998319,92002307,0.0488,0.01437,0.02477,0.46699,0.02318,0.01152,0.08179,0.09491,0.30343,0.0873,0.03304,0.02273,0.52041,0.02273,0.02999,0.51401,0.0,0.04725,0.49023,0.42737,0.04415,925.0
944,10,100686349,100704505,0.09567,0.06287,0.01832,0.04639,0.06313,0.01868,0.26701,0.21764,0.03268,0.33898,0.06912,0.03233,0.17346,0.01557,0.11969,0.1305,0.04713,0.05558,0.2373,0.03024,0.13486,944.0
957,10,107052237,107063457,0.04427,0.3185,0.01022,0.01049,0.32401,0.056,0.17377,0.05624,0.04181,0.20793,0.18431,0.3086,0.26813,0.01634,0.50632,0.02113,0.40917,0.07154,0.36211,0.08693,0.63462,957.0
976,10,114112573,114117130,0.04946,0.10593,0.01576,0.02474,0.0186,0.10552,0.2552,0.02996,0.02214,0.1111,0.02493,0.15236,0.19484,0.05941,0.36675,0.02207,0.05426,0.07029,0.08505,0.05661,0.20272,976.0
995,10,122225684,122232908,0.01356,0.13536,0.10817,0.06761,0.06898,0.10079,0.18967,0.1416,0.07983,0.07877,0.10534,0.3639,0.30278,0.28688,0.38278,0.07692,0.0296,0.04897,0.02366,0.01544,0.01521,995.0
1031,10,132908928,132912996,0.09403,0.02794,0.01983,0.0138,0.13347,0.06291,0.19418,0.05198,0.06493,0.3893,0.01754,0.07641,0.05603,0.11358,0.15032,0.02115,0.3037,0.02893,0.2658,0.0388,0.33847,1031.0
1039,10,135475058,135476374,0.03473,0.125,0.01436,0.01204,0.02571,0.05589,0.16848,0.02424,0.02972,0.01867,0.01279,0.12778,0.11639,0.14572,0.20854,0.02041,0.02572,0.03556,0.03502,0.04522,0.02421,1039.0
1062,11,4965673,4980552,0.02427,0.13855,0.00993,0.01037,0.05181,0.00837,0.07272,0.03277,0.02775,0.1314,0.03106,0.16228,0.14005,0.3394,0.16729,0.02004,0.0792,0.0137,0.08686,0.01471,0.06849,1062.0
1068,11,5871098,5888707,0.02798,0.1762,0.02477,0.02384,0.02318,0.00938,0.21649,0.0,0.0,0.0,0.03627,0.18598,0.17617,0.16897,0.1823,0.0,0.0,0.03351,0.0,0.03267,0.03206,1068.0
1083,11,11378790,11381224,0.0948,0.04131,0.11791,0.01613,0.1762,0.16221,0.03071,0.02326,0.06917,0.08824,0.0274,0.05849,0.02384,0.13476,0.07574,0.11741,0.07246,0.01472,0.2354,0.13284,0.04361,1083.0
1084,11,11821559,11827689,0.03688,0.0882,0.0941,0.11339,0.1112,0.16642,0.23257,0.03783,0.05451,0.28097,0.07365,0.38428,0.40284,0.04688,0.42664,0.02294,0.47161,0.02415,0.48568,0.01616,0.44253,1084.0
1108,11,21847054,21849813,0.01236,0.01725,0.02115,0.42882,0.0398,0.01393,0.03532,0.04475,0.50555,0.04509,0.012,0.0145,0.36434,0.08294,0.03935,0.34488,0.10955,0.04792,0.58066,0.51488,0.03629,1108.0
1118,11,24284793,24287391,0.01062,0.08585,0.03078,0.02382,0.28072,0.00893,0.06387,0.02667,0.04614,0.25505,0.01652,0.02966,0.11821,0.09195,0.0949,0.09372,0.1792,0.04487,0.35003,0.02939,0.30894,1118.0
1129,11,25738172,25755554,0.01825,0.01862,0.01719,0.01688,0.25756,0.01877,0.0,0.0,0.0,0.31805,0.0,0.0,0.0,0.32602,0.0,0.0,0.29078,0.0,0.2812,0.0,0.32883,1129.0
1131,11,26469413,26479421,0.01783,0.01817,0.01686,0.20555,0.01639,0.0183,0.0,0.0,0.24532,0.0,0.0,0.0,0.25231,0.0,0.0,0.22192,0.0,0.0,0.20782,0.2548,0.0,1131.0
1133,11,26606778,26613968,0.0529,0.05592,0.02383,0.04183,0.04429,0.05705,0.0,0.03704,0.0,0.20417,0.0,0.03704,0.0,0.20961,0.0,0.03704,0.12732,0.03704,0.17969,0.0,0.21154,1133.0
1139,11,29004591,29013176,0.08394,0.09015,0.00996,0.3528,0.21014,0.10342,0.01215,0.08882,0.16087,0.06134,0.01264,0.08943,0.14872,0.05465,0.0115,0.44986,0.28575,0.10076,0.06118,0.13821,0.04781,1139.0
1148,11,31392176,31398539,0.01204,0.26301,0.11174,0.13264,0.02721,0.28198,0.27179,0.11121,0.1415,0.02495,0.29582,0.07284,0.04606,0.20873,0.01165,0.02397,0.07205,0.08876,0.10279,0.05789,0.23514,1148.0
1193,11,45429823,45432012,0.00964,0.1767,0.06144,0.27852,0.01945,0.04157,0.16645,0.06515,0.32172,0.02275,0.03674,0.05331,0.04644,0.10346,0.08219,0.18616,0.03913,0.01838,0.26488,0.20344,0.01914,1193.0
1196,11,47054130,47064534,0.00925,0.35175,0.03601,0.02655,0.01584,0.02956,0.46648,0.04504,0.03285,0.02823,0.04222,0.67978,0.56647,0.39102,0.28616,0.02038,0.10574,0.12069,0.07684,0.09105,0.01832,1196.0
1209,11,55357826,55431931,0.00946,0.05305,0.01769,0.12811,0.05567,0.02668,0.05135,0.02989,0.18144,0.08697,0.03869,0.1068,0.33155,0.20865,0.13472,0.10489,0.04133,0.01495,0.04774,0.08011,0.02639,1209.0
1210,11,55433583,55444654,0.00894,0.04714,0.02084,0.13493,0.05991,0.03109,0.05122,0.03051,0.17888,0.08488,0.03866,0.10778,0.32887,0.2058,0.13441,0.1008,0.0392,0.01475,0.04815,0.07802,0.02542,1210.0
1211,11,55445590,55452018,0.00887,0.04214,0.02203,0.14446,0.06547,0.03497,0.05193,0.02881,0.18165,0.08556,0.03832,0.10569,0.3334,0.20828,0.13523,0.10896,0.04223,0.01525,0.04916,0.08125,0.02607,1211.0
1222,11,58626364,58635317,0.0202,0.02837,0.24682,0.01024,0.13066,0.2228,0.0819,0.18227,0.02759,0.08749,0.14361,0.38943,0.03853,0.27032,0.31382,0.24638,0.04213,0.01553,0.14956,0.18213,0.0246,1222.0
1249,11,66706366,66717374,0.03565,0.01118,0.03479,0.01789,0.08499,0.00897,0.02422,0.126,0.08155,0.03958,0.04998,0.05849,0.03392,0.07196,0.0171,0.02534,0.24212,0.03568,0.18107,0.01952,0.11875,1249.0
1263,11,69982031,69986021,0.06446,0.05492,0.02175,0.02811,0.29047,0.01588,0.19982,0.02985,0.13139,0.12782,0.03379,0.1451,0.02059,0.5789,0.10029,0.09173,0.2425,0.01438,0.47558,0.05909,0.23096,1263.0
1281,11,80305981,80313393,0.01351,0.01351,0.01553,0.01351,0.18678,0.00934,0.0,0.03704,0.0,0.20391,0.02174,0.03704,0.0,0.20935,0.02174,0.03704,0.13304,0.01572,0.17946,0.02174,0.16419,1281.0
1285,11,81500049,81526265,0.0111,0.03125,0.05024,0.05338,0.08178,0.08444,0.05738,0.09383,0.04876,0.15092,0.13965,0.02286,0.15899,0.06439,0.03847,0.21824,0.05436,0.01846,0.29611,0.27864,0.02898,1285.0
1309,11,86303843,86306987,0.04653,0.01895,0.01389,0.15645,0.52707,0.19745,0.02103,0.02969,0.06214,0.39246,0.07468,0.01507,0.10683,0.47725,0.1264,0.12728,0.52798,0.13044,0.22548,0.01529,0.16598,1309.0
1322,11,89554349,89611648,0.02044,0.01677,0.05191,0.05532,0.14399,0.06836,0.01275,0.03048,0.1423,0.1359,0.03455,0.04061,0.14391,0.17391,0.04494,0.2818,0.11339,0.01599,0.48489,0.20249,0.0392,1322.0
1325,11,90566229,90571354,0.01351,0.60996,0.01351,0.01351,0.01351,0.01351,0.57467,0.0,0.0,0.0,0.0,0.52384,0.50577,0.49192,0.59453,0.0,0.0,0.0,0.0,0.0,0.0,1325.0
1348,11,96000786,96006046,0.03763,0.04825,0.13141,0.01375,0.29371,0.087,0.01321,0.0562,0.06621,0.19807,0.0244,0.03985,0.07074,0.16057,0.01685,0.19049,0.08766,0.02177,0.37232,0.1093,0.12156,1348.0
1369,11,102749794,102753444,0.01187,0.13552,0.03679,0.21896,0.0159,0.03346,0.09821,0.07099,0.18904,0.03429,0.02206,0.20167,0.03039,0.14338,0.05014,0.35085,0.04545,0.09395,0.27128,0.1114,0.05523,1369.0
1374,11,104267720,104273683,0.03997,0.22012,0.04926,0.06892,0.02075,0.00886,0.09994,0.01618,0.02084,0.07815,0.0312,0.07835,0.06621,0.22016,0.17662,0.02098,0.10052,0.04049,0.14159,0.05624,0.02753,1374.0
1381,11,105291865,105299511,0.00911,0.20952,0.01685,0.01658,0.01638,0.00834,0.16904,0.02564,0.02564,0.02564,0.01192,0.17336,0.16418,0.15745,0.18278,0.0,0.0,0.02174,0.0,0.02174,0.02174,1381.0
1389,11,106785122,106789666,0.00904,0.15526,0.01995,0.01744,0.16753,0.03388,0.18684,0.02531,0.02305,0.24517,0.03573,0.12784,0.13394,0.04688,0.08376,0.01982,0.22498,0.0165,0.23699,0.01852,0.13504,1389.0
1492,12,8309583,8561113,0.02396,0.12854,0.01648,0.0129,0.05482,0.02687,0.19993,0.01667,0.0465,0.03844,0.01207,0.16124,0.0799,0.22769,0.20305,0.03883,0.05505,0.01634,0.09812,0.04565,0.02762,1492.0
1552,12,28094980,28099545,0.01339,0.00953,0.08558,0.01545,0.15407,0.04324,0.02232,0.06087,0.0358,0.12217,0.02511,0.10961,0.01743,0.18995,0.0557,0.12878,0.03355,0.02341,0.21493,0.06567,0.05849,1552.0
1555,12,29843221,29847095,0.03814,0.0085,0.13821,0.01608,0.04693,0.04415,0.04693,0.30662,0.02477,0.1657,0.13595,0.15445,0.02269,0.05627,0.04511,0.22831,0.05264,0.05239,0.11141,0.07802,0.01527,1555.0
1559,12,30237039,30244162,0.01938,0.047,0.01495,0.01021,0.01426,0.09605,0.10971,0.01596,0.02666,0.01743,0.04872,0.10524,0.06058,0.09766,0.24472,0.0263,0.02044,0.06008,0.02728,0.092,0.0586,1559.0
1565,12,31908017,31913155,0.04199,0.02155,0.01713,0.07652,0.01495,0.01001,0.09269,0.03704,0.21575,0.04545,0.04241,0.04889,0.03717,0.04257,0.03439,0.13835,0.02074,0.01698,0.12541,0.10802,0.01626,1565.0
1572,12,33380312,33400138,0.15974,0.3514,0.1509,0.11829,0.26618,0.48262,0.07444,0.01527,0.01712,0.0558,0.17378,0.06863,0.09033,0.01673,0.03721,0.02178,0.05796,0.16683,0.07929,0.20052,0.05558,1572.0
1581,12,38449317,38449881,0.01818,0.32794,0.0236,0.01683,0.01662,0.01869,0.39014,0.05953,0.0,0.0,0.0,0.17106,0.32776,0.31599,0.4094,0.05511,0.05431,0.06095,0.0,0.0,0.0,1581.0
1595,12,43018476,43026061,0.00969,0.09875,0.01162,0.01028,0.05913,0.05148,0.13091,0.02125,0.01629,0.09505,0.0707,0.1875,0.1556,0.36038,0.27882,0.02273,0.06183,0.03856,0.08748,0.05652,0.01664,1595.0
