"chr","start","end","genes","WestEurasia.SouthAsia","WestEurasia.Africa","WestEurasia.CentralAsiaSiberia","WestEurasia.Oceania","WestEurasia.America","WestEurasia.EastAsia","SouthAsia.Africa","SouthAsia.CentralAsiaSiberia","SouthAsia.Oceania","SouthAsia.America","SouthAsia.EastAsia","Africa.CentralAsiaSiberia","Africa.Oceania","Africa.America","Africa.EastAsia","CentralAsiaSiberia.Oceania","CentralAsiaSiberia.America","CentralAsiaSiberia.EastAsia","Oceania.America","Oceania.EastAsia","America.EastAsia"
"10",26998751,27003531,"PDSS1",NA,NA,NA,0.30359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44027,NA,NA
"10",47979955,47981914,"PTPN20, GLUD1P2, NA, NA, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",54015196,54018601,"PRKG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22987,NA,NA,NA,NA,0.26743,NA,NA
"10",84126879,84130920,"NRG3",NA,0.44065,NA,0.35323,NA,NA,0.28789,NA,0.22613,NA,NA,0.40962,NA,NA,NA,0.39794,NA,NA,NA,NA,NA
"11",106785122,106789666,"GUCY1A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24517,NA,NA,NA,NA,NA,NA,0.22498,NA,0.23699,NA,NA
"11",11378790,11381224,"GALNT18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2354,NA,NA
"11",26469413,26479421,"ANO3",NA,NA,NA,0.20555,NA,NA,NA,NA,0.24532,NA,NA,NA,0.25231,NA,NA,0.22192,NA,NA,0.20782,0.2548,NA
"11",26606778,26613968,"ANO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20417,NA,NA,NA,0.20961,NA,NA,NA,NA,NA,NA,0.21154
"11",31392176,31398539,"DNAJC24",NA,0.26301,NA,NA,NA,0.28198,0.27179,NA,NA,NA,0.29582,NA,NA,0.20873,NA,NA,NA,NA,NA,NA,0.23514
"11",47054130,47064534,"C11orf49",NA,0.35175,NA,NA,NA,NA,0.46648,NA,NA,NA,NA,0.67978,0.56647,0.39102,0.28616,NA,NA,NA,NA,NA,NA
"11",4965673,4980552,"OR51A4, OR51A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3394,NA,NA,NA,NA,NA,NA,NA
"11",55357826,55431931,"OR4C11, OR4S2, OR4P4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33155,0.20865,NA,NA,NA,NA,NA,NA,NA
"11",5871098,5888707,"OR52E8, TRIM5",NA,NA,NA,NA,NA,NA,0.21649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",66706366,66717374,"PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24212,NA,NA,NA,NA
"11",69982031,69986021,"ANO1",NA,NA,NA,NA,0.29047,NA,NA,NA,NA,NA,NA,NA,NA,0.5789,NA,NA,0.2425,NA,0.47558,NA,0.23096
"11",86303843,86306987,"ME3",NA,NA,NA,NA,0.52707,NA,NA,NA,NA,0.39246,NA,NA,NA,0.47725,NA,NA,0.52798,NA,0.22548,NA,NA
"11",89554349,89611648,"TRIM64B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2818,NA,NA,0.48489,0.20249,NA
"11",96000786,96006046,"MAML2",NA,NA,NA,NA,0.29371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37232,NA,NA
"12",102101924,102107777,"CHPT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22919,NA,NA,NA,NA,0.27524,NA,NA
"12",29843221,29847095,"TMTC1",NA,NA,NA,NA,NA,NA,NA,0.30662,NA,NA,NA,NA,NA,NA,NA,0.22831,NA,NA,NA,NA,NA
"12",50969094,50976047,"DIP2B",NA,NA,0.37711,0.2652,0.32294,0.28018,NA,NA,NA,NA,NA,0.32367,0.22085,0.27725,0.21622,NA,NA,NA,NA,NA,NA
"12",82103935,82109407,"PPFIA2",NA,NA,NA,NA,NA,NA,NA,0.20853,NA,0.23724,NA,0.21519,NA,0.24354,NA,NA,NA,NA,0.20871,NA,NA
"12",82139441,82144626,"PPFIA2",NA,NA,NA,NA,NA,NA,NA,0.30774,NA,NA,NA,0.49491,NA,0.23237,0.20379,0.39448,NA,NA,NA,NA,NA
"12",8309583,8561113,"LINC00937, ZNF705A, FAM66C, FAM90A1, FAM86FP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22769,0.20305,NA,NA,NA,NA,NA,NA
"13",39928193,39936767,"LHFPL6",NA,0.21655,NA,NA,NA,NA,0.2304,NA,NA,NA,NA,NA,0.35881,NA,0.22597,NA,NA,NA,NA,NA,NA
"13",53081182,53094827,"TPTE2P3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21981,0.23246,NA
"13",78996960,79003056,"OBI1-AS1",NA,NA,NA,NA,0.373,NA,NA,NA,NA,0.58351,NA,0.32948,NA,0.81754,0.2999,0.24342,0.25925,NA,0.76818,0.20275,0.24381
"14",32949961,32961166,"AKAP6",NA,NA,NA,0.20204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",35597203,35615618,"PRORP",NA,NA,0.31032,NA,NA,NA,NA,NA,NA,NA,NA,0.52619,0.2159,0.20325,0.27651,NA,NA,NA,NA,NA,NA
"14",73990657,74053945,"ACOT2, HEATR4, ACOT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25838,NA,NA,NA,0.25322,0.45497,NA,NA,NA,0.55771,0.26396
"14",80106178,80115190,"NRXN3",NA,0.23512,NA,NA,NA,0.2086,NA,NA,NA,NA,NA,0.21917,NA,0.39038,NA,NA,NA,NA,0.312,NA,0.32654
"14",81877218,81881051,"STON2",NA,NA,0.27478,NA,NA,0.33505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32583,NA,NA,NA,0.33691
"15",20198164,20894589,"HERC2P3, NBEAP1, CHEK2P2, GOLGA6L6, GOLGA8CP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23283
"15",21308513,21398673,"POTEB, NF1P2",NA,NA,NA,NA,0.22995,NA,NA,NA,NA,NA,NA,NA,NA,0.28408,NA,NA,NA,NA,0.29501,NA,NA
"15",21885406,22211793,"POTEB, NF1P2, LOC646214, CXADRP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35793
"15",49543162,49548194,"GALK2",NA,NA,NA,NA,NA,0.21412,NA,NA,0.20184,NA,0.22205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",71634013,71717079,"THSD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32055,NA,NA,NA,0.35901,NA,NA,NA,NA,0.34231,NA,0.22555
"15",84540748,84544844,"ADAMTSL3",NA,NA,NA,NA,NA,0.21974,NA,NA,NA,NA,0.24004,NA,NA,NA,NA,NA,0.22033,NA,NA,NA,0.29166
"15",85726159,85797295,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24753,NA,NA,NA,NA,NA,NA,NA
"15",86055722,86060394,"AKAP13",NA,0.25026,NA,NA,NA,NA,0.33946,NA,NA,0.22515,NA,0.20681,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",92673994,92678292,"SLCO3A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25502,NA,0.22573,NA,NA,NA
"16",13293488,13297296,"SHISA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23859,NA,NA,NA,NA,NA,NA,NA
"16",17473794,17480429,"XYLT1",NA,NA,0.24087,NA,0.23221,NA,NA,0.2092,NA,0.20651,NA,0.21588,NA,0.21202,NA,NA,NA,NA,NA,NA,NA
"16",33106071,33292140,"LOC390705",NA,NA,NA,NA,NA,NA,NA,NA,0.20025,NA,NA,NA,NA,0.24343,NA,NA,NA,NA,0.30106,NA,NA
"16",55796243,55797961,"CES1P1",NA,NA,0.24408,NA,NA,NA,0.25382,NA,NA,NA,NA,0.56259,0.44302,NA,0.44427,NA,0.26035,NA,NA,NA,NA
"16",76536795,76545019,"CNTNAP4",NA,0.52411,NA,NA,NA,NA,0.47671,NA,NA,NA,NA,0.49686,0.33513,0.2782,0.60749,NA,NA,NA,NA,NA,NA
"16",85101681,85104890,"KIAA0513",NA,NA,NA,0.30176,NA,NA,NA,NA,0.27879,NA,NA,NA,0.28656,NA,NA,0.25262,NA,NA,0.23672,0.28931,NA
"17",18405462,18513691,"USP32P2, CCDC144B, FAM106A",NA,NA,NA,NA,0.29861,0.24822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28107,NA,NA
"17",20610554,20619880,"LOC100287072",NA,0.43307,NA,NA,NA,NA,0.43819,NA,NA,NA,NA,0.36685,0.47463,0.26651,0.53015,NA,NA,NA,NA,NA,NA
"17",35754669,35759869,"ACACA",NA,NA,NA,NA,NA,0.25316,NA,NA,NA,NA,0.24404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",35772402,35783682,"TADA2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20261,NA,NA,NA,NA,NA,NA
"17",397617,639386,"VPS53, TLCD3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31743,0.25361,NA,NA,NA,NA,NA,NA,NA
"17",55083725,55100227,"SCPEP1",NA,NA,NA,NA,NA,0.21034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",58408420,58414570,"USP32",NA,0.36402,NA,NA,NA,NA,0.26467,NA,NA,NA,NA,0.21753,0.29223,NA,0.29812,NA,NA,NA,NA,NA,NA
"17",7335999,7338766,"TMEM102",NA,NA,NA,0.22281,NA,NA,NA,NA,NA,NA,NA,NA,0.3004,NA,NA,0.29655,NA,NA,0.27203,0.20551,NA
"17",77992431,78000521,"TBC1D16",NA,0.23753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",81151279,81187990,"RPL23AP87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22764,NA,NA,NA,0.29999,NA,0.3618,NA,0.24512
"18",23760496,23771792,"PSMA8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20702,NA,NA
"18",24554278,24557696,"AQP4-AS1, CHST9",NA,NA,NA,NA,0.2609,NA,NA,NA,NA,0.24028,NA,NA,NA,0.24665,NA,NA,NA,NA,0.21139,NA,0.20111
"18",44539088,44563607,"ELOA3DP, ELOA3P, ELOA2, KATNAL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20467,NA,0.26878,NA,NA,NA,NA,NA,NA
"18",64218720,64221553,"CDH19",NA,0.21704,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42818,NA,NA,0.47693,0.30312,NA,NA,NA,0.31843,NA
"19",12035855,12058011,"ZNF763, ZNF700",NA,0.27698,NA,0.21777,NA,NA,0.27396,NA,0.25493,NA,NA,0.29656,NA,0.27155,0.29534,0.31731,NA,NA,0.2982,0.27069,NA
"19",12694360,12707835,"ZNF490",NA,NA,NA,NA,NA,0.35926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30953,NA
"19",1948086,1952247,"CSNK1G2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21649,NA,NA,NA,NA,NA
"19",20589912,20595686,"ZNF826P",NA,NA,NA,NA,0.20526,NA,NA,NA,NA,0.31003,NA,NA,NA,NA,NA,NA,0.31604,NA,0.25186,NA,NA
"19",2907479,2918532,"ZNF57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21687,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",35660701,35669953,"FXYD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28831,NA,NA,0.2261,NA,0.21878,NA,NA,NA,NA
"19",35846977,35864876,"FFAR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30972,NA,NA,NA,0.28621,NA,NA,NA,NA,NA
"19",45170460,45192699,"CEACAM19",NA,NA,NA,NA,NA,NA,NA,0.23762,NA,NA,NA,0.21656,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",48404969,48465292,"SNAR-A1, SNAR-A12, SNAR-C2, SNAR-C4, SNAR-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",52133352,52152312,"SIGLEC14, SIGLEC5",NA,NA,NA,NA,NA,0.27329,NA,NA,NA,NA,0.25297,NA,NA,NA,0.22205,NA,NA,NA,NA,0.25657,0.32887
"19",53316310,53320924,"ZNF28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24665,NA,0.25545,NA,NA
"19",54554794,54561757,"VSTM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21353,NA,NA,0.28365,NA,NA,NA,0.22062,NA
"19",9222533,9225816,"OR7G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31745,NA,NA,0.34534,0.22188,NA
"2",100102240,100105225,"REV1",NA,NA,NA,NA,0.21467,NA,NA,NA,NA,0.29236,NA,NA,NA,0.26643,NA,NA,0.27174,NA,0.46445,NA,0.28481
"2",114258334,114259635,"FOXD4L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24393,NA,NA,NA,0.24002,NA,NA,NA,NA,NA,NA,NA
"2",114365939,114382208,"RPL23AP7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23773,0.23486,NA,NA,NA,NA,NA,NA,NA
"2",125431042,125438357,"CNTNAP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21975,NA,NA,NA,0.28674,NA,NA,NA,NA,0.24633,NA,0.23478
"2",153459609,153461616,"FMNL2",NA,NA,NA,0.26457,NA,NA,NA,NA,0.25152,NA,NA,NA,0.38556,NA,NA,0.42524,NA,NA,0.40261,NA,NA
"2",159958685,159964278,"TANC1",NA,0.30952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27214,0.22949,NA,NA,NA,NA,NA,NA,NA
"2",160097438,160104048,"WDSUB1",0.24273,0.33461,NA,0.33888,NA,0.22405,NA,NA,NA,NA,NA,NA,NA,0.22534,NA,NA,NA,NA,0.26591,NA,NA
"2",167153019,167160206,"SCN9A",NA,0.27886,NA,NA,NA,NA,0.23477,NA,NA,NA,NA,0.20205,NA,NA,0.2489,NA,NA,NA,NA,NA,NA
"2",170320280,170340432,"KLHL41, BBS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28169,0.2229,NA,NA,NA,NA,NA,NA,NA,NA
"2",172905430,172911323,"METAP1D",NA,NA,NA,0.3148,NA,0.28644,NA,NA,0.41512,0.20367,0.31968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",180058234,180083270,"SESTD1",NA,NA,NA,NA,0.23202,NA,NA,NA,NA,0.32018,NA,NA,0.23847,0.38939,0.24151,NA,NA,NA,NA,NA,NA
"2",214873863,214877498,"SPAG16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21229,NA,NA,NA,NA,NA,NA,NA
"2",220049900,220058248,"RETREG2",NA,0.25052,NA,NA,NA,0.20104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",33221706,33227491,"LTBP1",NA,NA,NA,NA,NA,0.20076,NA,NA,NA,NA,0.2965,NA,0.27661,NA,0.43133,NA,NA,0.21475,0.20189,NA,0.33042
"2",33764749,33769039,"RASGRP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251
"2",3735456,3736559,"ALLC",NA,NA,NA,0.27984,NA,NA,NA,NA,0.4211,NA,0.21959,NA,0.38696,NA,NA,0.33184,NA,NA,0.36509,NA,NA
"2",44464934,44470334,"PPM1B",NA,NA,NA,NA,NA,NA,0.3226,NA,NA,0.34953,NA,0.27996,0.4725,NA,NA,NA,0.33343,NA,0.53067,0.2905,NA
"2",54564948,54567711,"C2orf73",NA,NA,NA,NA,NA,NA,0.21259,NA,NA,NA,NA,NA,NA,NA,0.22984,NA,NA,NA,NA,NA,NA
"20",15294609,15304146,"MACROD2",NA,NA,NA,NA,NA,NA,NA,NA,0.2337,NA,NA,NA,0.28105,NA,NA,0.21649,NA,NA,NA,NA,NA
"20",1552569,1592353,"SIRPB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25308,NA,NA,NA,0.39659,NA,NA,0.2353,NA,0.36568,NA,0.21487
"20",25978079,26041423,"LOC100134868, FAM182A",NA,0.20006,NA,NA,NA,NA,0.20357,NA,NA,NA,NA,NA,0.40578,0.27648,NA,NA,NA,NA,NA,NA,NA
"20",31307552,31319391,"COMMD7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24055,NA,NA,0.25131,NA,NA,0.2969,NA,NA,0.42844,NA,NA
"20",45778673,45789475,"EYA2",NA,NA,0.20966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",60514775,60537590,"CDH4, MIR1257",NA,NA,NA,NA,0.23714,0.21553,NA,NA,NA,NA,NA,NA,NA,0.21373,NA,NA,NA,NA,NA,NA,NA
"20",61372408,61374547,"NTSR1",NA,NA,0.25417,NA,0.38716,0.34068,NA,NA,NA,0.28888,0.23271,NA,NA,NA,NA,NA,NA,NA,0.2768,NA,NA
"21",14373669,14412922,"ANKRD30BP2",NA,NA,NA,NA,NA,0.22004,NA,NA,NA,NA,0.21162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",19323541,19330131,"CHODL",NA,NA,NA,NA,NA,NA,0.42734,NA,NA,NA,NA,NA,0.42638,NA,NA,NA,NA,NA,NA,NA,NA
"21",44284546,44288276,"WDR4",NA,NA,NA,0.22365,NA,NA,NA,NA,0.24828,NA,NA,NA,0.25535,NA,NA,0.22462,NA,NA,0.21035,0.25786,NA
"21",9866600,9927289,"TEKT4P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24084,NA,NA,NA,NA,NA,NA,NA
"22",18056648,18062987,"SLC25A18",NA,NA,NA,NA,0.20731,NA,NA,NA,NA,0.37301,NA,NA,NA,0.30268,NA,NA,NA,NA,NA,NA,NA
"22",18656197,18883339,"USP18, GGT3P",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26349,NA,NA,NA,0.32544,0.25065,NA,NA,NA,NA,NA,NA
"22",21461146,21711132,"POM121L8P, BCRP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23563,NA,NA,NA,0.39105,0.29263,NA,NA,NA,NA,NA,NA
"22",23026193,23236328,"IGLL5, MIR650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24766,NA,NA,NA,0.28763,0.28465,0.29216,NA,NA,NA
"22",23476481,23479924,"RSPH14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324,0.20163,NA,NA,NA,0.26489,NA,NA
"22",33780248,33783640,"LARGE1",NA,NA,NA,NA,NA,NA,0.22607,0.20516,0.23635,NA,0.2626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",45134970,45139084,"PRR5-ARHGAP8",NA,NA,NA,NA,0.20231,NA,NA,NA,NA,NA,NA,NA,0.20476,NA,NA,0.28378,NA,NA,0.31099,NA,NA
"22",45554360,45559418,"NUP50-DT",NA,0.26163,NA,NA,NA,0.22533,NA,NA,NA,NA,NA,NA,0.22113,0.21232,NA,NA,NA,NA,NA,NA,NA
"22",50252755,50261847,"ZBED4",NA,NA,NA,0.23469,NA,NA,NA,NA,0.2157,NA,NA,NA,0.22192,NA,NA,NA,NA,NA,NA,0.22413,NA
"3",114655254,114661383,"ZBTB20",NA,0.2624,NA,0.40049,NA,NA,NA,NA,0.30009,NA,NA,0.27744,NA,0.25361,0.33626,0.46747,NA,NA,0.44409,0.51773,NA
"3",129762720,129807983,"ALG1L2",NA,0.24738,NA,0.23554,NA,NA,NA,NA,0.2222,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22181,NA,NA
"3",131708168,131713607,"CPNE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2754,0.25286,0.46398,0.38292,NA,NA,NA,NA,NA,NA
"3",131988535,131998255,"CPNE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36579,NA,NA,NA,NA,0.37508,NA,NA
