,chr,start,end,AFR-AMR,AFR-ARC,AFR-EA,AFR-OCN,AFR-SA,AFR-SIB,AFR-WEA,AMR-ARC,AMR-EA,AMR-OCN,AMR-SA,AMR-SIB,AMR-WEA,ARC-EA,ARC-OCN,ARC-SA,ARC-SIB,ARC-WEA,EA-OCN,EA-SA,EA-SIB,EA-WEA,OCN-SA,OCN-SIB,OCN-WEA,SA-SIB,SA-WEA,SIB-WEA
24,chr1,834148,851364,,,-0.01084,-0.0,0.01906,-0.0,,,-0.00723,0.0,0.01399,-0.0,,-0.00097,-0.0,0.00226,-0.0,,-0.00416,-0.00036,-0.0069,-0.01289,0.03159,0.01408,0.0,-0.00941,0.02156,0.0
25,chr1,801200,802690,-0.0,-0.02439,-0.0119,0.00056,-0.00579,0.11481,-0.0102,0.0,-0.0,0.02625,0.01514,0.13095,0.0,-0.02222,-0.06333,-0.04754,-0.07569,-0.01695,0.00265,-0.00417,0.12037,-0.0098,-0.02056,0.02726,0.00823,0.04861,0.00027,0.13513
26,chr1,797682,801200,0.0,0.0,-0.00448,0.00627,-0.01254,-0.01639,0.0,,-0.00485,-0.0,-0.01168,0.0,,-0.00065,-0.0,-0.00185,0.0,,-0.01146,-0.01593,-0.0016,-0.00862,-0.01826,0.00907,-0.0,-0.00745,-0.01826,0.0
27,chr1,787076,787479,-0.00568,-0.00078,-0.00015,-0.00568,0.00558,0.00357,-0.00987,,-0.00244,,0.0,0.0,,-0.00033,,0.0,0.0,,-0.00244,-0.01311,-0.01087,-0.00433,0.0,0.0,,-0.01695,0.0,0.0
28,chr1,853141,881226,-0.0,,,-0.01997,,,,-0.0,0.0,-0.02367,-0.0,-0.0,0.0,,-0.00265,,,,-0.02058,,,,-0.01702,-0.01549,-0.02224,,,
29,chr1,787479,795270,-0.00329,-0.00045,0.00245,0.00382,-0.0134,0.00148,-0.01091,,0.01364,0.02625,-0.00187,0.0,-0.0,0.00186,0.00476,-0.0003,0.0,0.0,-0.01481,-0.01243,0.01892,0.00619,-0.01628,0.03551,0.00823,0.0033,-0.01241,0.00478
30,chr1,811145,812525,-0.01667,0.475,-0.00703,0.00875,-0.01359,0.00902,0.01505,0.63333,-0.01563,0.0,-0.02174,0.0,-0.0,0.65152,1.0,0.64103,1.0,1.0,0.0,-0.01429,0.0,-0.0,-0.0,,,-0.0,0.0,
31,chr1,769541,787076,0.0,0.0,0.01799,0.0,0.00078,-0.01639,-0.0102,,0.0313,,0.01399,0.0,-0.0,0.00433,,0.00226,0.0,0.0,0.0313,-0.01647,-0.0,0.0286,0.01399,0.0,-0.0,-0.00941,0.00615,-0.01266
32,chr1,763904,768698,0.02292,0.00071,0.00314,0.38063,-0.01436,-0.01429,-0.00978,0.01938,-0.00952,0.22736,0.02494,0.00592,0.03943,0.00582,0.12546,0.00107,0.0035,0.00034,0.30093,0.00192,-0.008,0.0156,0.38256,0.34246,0.41832,-0.01946,-0.01115,-0.00871
33,chr1,712534,763301,0.03684,-0.0539,-0.01166,-0.01403,-0.00307,0.00292,-0.00707,-0.0,0.0313,0.02625,0.06499,0.0,0.01931,-0.04897,-0.05175,-0.08215,-0.02679,-0.0371,-0.01442,0.0009,-0.0,-0.00815,0.00316,-0.015,-0.01342,0.02983,0.01289,-0.00536
34,chr1,801200,805820,-0.01566,-0.05511,-0.00747,-0.00636,-0.00903,0.04689,-0.00799,-0.10139,-0.00681,-0.0047,-0.00874,0.02972,-0.00766,-0.04945,-0.0945,-0.07719,-0.09893,-0.03874,-0.01424,-0.01418,0.0788,-0.00946,-0.02098,0.10903,-0.01017,0.09256,-0.0111,0.06306
35,chr1,787479,787679,0.00875,0.00122,0.00189,-0.01228,0.00927,-0.01611,-0.00361,,-0.0034,0.02625,-0.00127,0.0,-0.0,-0.00046,0.00476,-0.0002,0.0,0.0,0.00656,-0.01294,0.00048,-0.00335,0.01525,-0.015,0.00823,0.00613,0.00228,-0.01266
36,chr1,763904,769541,0.13049,0.00071,0.05491,0.3718,-0.01243,0.00535,-0.00978,0.04027,-0.00406,0.02759,0.08793,0.0299,0.15755,0.01106,0.13796,0.00285,0.00907,0.00034,0.08934,0.02596,-0.00305,0.07693,0.30788,0.19847,0.41097,-0.01179,-0.00632,0.01691
37,chr1,797682,805820,-0.01349,0.0375,-0.0104,-0.01177,-0.01282,-0.01661,-0.00869,0.08333,-0.0072,-0.00669,-0.00975,-0.02025,-0.00521,0.02919,0.04641,0.04264,0.06109,0.02299,-0.01467,-0.01426,-0.01457,-0.00983,-0.02114,-0.01933,-0.01216,-0.01922,-0.01202,-0.01202
38,chr1,812525,826611,0.02562,-0.06383,-0.01174,-0.01533,0.00399,0.00218,-0.00743,-0.17021,0.036,0.03618,0.08906,-0.01271,0.01179,-0.06872,-0.12617,-0.08477,-0.11565,-0.05246,-0.01454,0.00147,0.00822,-0.00411,0.00293,-0.0042,-0.01079,0.04989,0.02412,-0.00538
39,chr1,795270,797682,0.0,-0.02439,0.0,0.0,-0.01515,-0.01639,-0.0,0.0,,,-0.0,0.0,,0.0,-0.0,-0.03704,-0.04545,0.0,,0.0,0.0,,-0.0,0.0,,-0.02128,0.0,-0.0
40,chr1,817358,834148,0.03122,0.01407,-0.00866,0.01763,0.01137,-0.01507,0.01348,0.05361,0.0127,-0.02338,-0.01862,0.00265,-0.0096,0.01865,0.05146,0.03243,0.02422,0.01664,0.00181,-0.002,-0.01745,0.00196,-0.02101,-0.0075,-0.01178,-0.00975,-0.01225,-0.00515
41,chr1,763301,763482,,,0.03409,,0.01906,,0.00721,,0.02309,,0.01399,,0.00464,0.00317,,0.00226,,0.00058,0.02309,-0.01622,0.02381,0.00279,0.01399,,0.00464,0.01434,-0.00345,0.0048
42,chr1,814941,834148,0.08464,-0.07977,0.06167,0.04151,0.09553,0.00383,0.05702,-0.11418,-0.01357,-0.01603,-0.02076,0.0029,-0.01146,-0.06584,-0.13182,-0.08258,-0.10286,-0.04282,-0.0141,-0.00883,-0.00468,-0.00925,-0.00769,-0.01785,-0.00933,0.01186,-0.00894,-0.00059
43,chr1,115364455,115380591,,,-0.0,,,0.03201,,,-0.0,,,0.02439,,-0.0,,,0.00433,,-0.0,0.0,0.00149,-0.0,,0.02439,,0.02736,,0.03556
44,chr1,895100,898155,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,0.0,-0.0,,,
45,chr1,204984298,204997831,0.0,0.01408,0.0,0.00974,0.0,0.0,0.0,0.0,,0.0,,,,-0.0,-0.04762,-0.0,0.0,-0.0,-0.0,,,,-0.0,-0.0,0.0,,,
46,chr1,204993191,204997831,-0.0,0.01408,0.0,0.00974,0.0,-0.0,-0.0,0.0,,0.0,,,,0.0,-0.04762,0.0,-0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,
47,chr1,54239415,54251055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
48,chr1,205104042,205110228,0.0178,0.0025,0.02711,0.0178,0.02077,0.01833,0.03041,,,,,,,,,,,,,,,,,,,,,
49,chr1,116118974,116136026,,,-0.0,,,,,,-0.0,,,,,-0.0,,,,,-0.0,0.0,-0.0,0.0,,,,,,
50,chr1,205164874,205171383,,,,,,,-0.0,,,,,,-0.0,,,,,0.0,,,,0.0,,,-0.0,,-0.0,0.0
51,chr1,116228153,116233562,0.03274,0.04311,0.09666,0.00984,0.00497,0.02677,0.05823,0.0407,-0.00686,-0.01826,-0.01055,-0.02389,-0.01409,0.01472,0.06067,0.04861,0.04458,0.01878,0.01622,0.02799,-0.0011,-0.00134,-0.02072,-0.02082,-0.00542,-0.01404,0.00149,-0.01256
52,chr1,116138454,116228153,-0.0,-0.0,-0.0119,-0.0,-0.01515,0.00958,-0.0,,-0.0,,0.0,-0.0,,-0.0,,0.0,-0.0,,0.0,-0.01429,0.00901,-0.0,0.0,-0.0,,0.01235,0.0,0.0
53,chr1,116233562,116349965,,,,,,-0.0,,,,,,-0.0,,,,,-0.0,,,,-0.0,,,-0.0,,-0.0,,0.0
54,chr1,1009660,1015541,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
55,chr1,54442199,54457154,,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,
56,chr1,116485050,116494324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
57,chr1,116707103,116709972,0.0,0.0,-0.0119,0.0,0.0,0.0,0.0,,-0.0,,,,,-0.0,,,,,-0.0,0.0,-0.0,0.0,,,,,,
58,chr1,206199342,206206354,0.0178,0.0025,0.02711,0.0178,0.02077,0.01833,0.03041,,,,,,,,,,,,,,,,,,,,,
59,chr1,1051484,1053875,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,
60,chr1,206280873,206290247,,0.0,,,0.0,-0.0,-0.0,0.0,,,0.0,-0.0,-0.0,0.0,0.0,-0.03704,-0.04545,-0.01351,,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.02128,-0.0095,-0.0101
61,chr1,1086514,1091066,0.06785,0.00676,0.07031,0.04688,0.05444,0.04825,0.07846,0.0,-0.0,0.0,0.0,0.0,-0.0,,,,,,,,,,,,,,,
62,chr1,54735204,54736595,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
63,chr1,206316068,206331251,,,,,,-0.0,,,,,,-0.0,,,,,0.0,,,,-0.0,,,-0.0,,-0.0,,0.0
64,chr1,206555003,206584860,-0.01841,-0.02717,0.01695,-0.01841,-0.00257,0.17092,0.01453,-0.03774,0.00792,-0.025,-0.01004,0.14749,0.00744,-0.03325,-0.03774,-0.06132,-0.04883,-0.01511,0.00792,-0.00876,0.06535,-0.00851,-0.01004,0.14749,0.00744,0.10922,-0.00366,0.03263
65,chr1,1142466,1143903,0.47543,0.0025,0.4223,0.2406,0.18023,0.42808,0.05715,0.14146,-0.00726,0.10224,0.12613,0.00898,0.2409,0.07922,0.06847,0.04087,0.13025,0.00995,0.05418,0.08074,-0.00899,0.22214,-0.01926,0.0227,0.03256,0.04328,0.01762,0.14884
66,chr1,55092034,55105927,-0.01542,0.01774,0.07917,0.0378,0.0555,0.0186,0.11438,0.0375,0.04504,0.06128,0.0304,0.00037,0.06783,0.03631,0.00476,0.05603,0.05385,0.03752,0.15638,-0.01066,0.00021,-0.00662,0.17666,0.13908,0.17902,-0.01515,0.00026,0.01628
67,chr1,55301805,55307967,0.0,0.0,-0.0119,0.0,0.0,0.0,0.0,,-0.0,,,,,-0.0,,,,,-0.0,0.0,-0.0,-0.0,,,,,,
68,chr1,55487634,55509409,,,,,,,-0.0,,,,,,-0.0,,,,,0.0,,,,0.0,,,-0.0,,0.0,0.0
69,chr1,118868491,118871147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
70,chr1,207323495,207348397,0.0178,0.0025,0.02711,0.0178,0.02077,0.01833,0.03041,,,,,,,,,,,,,,,,,,,,,
71,chr1,55850496,55862900,0.0178,0.0025,0.02711,0.0178,0.02077,0.01833,0.00742,,,,,,-0.0,,,,,0.0,,,,0.0,,,-0.0,,-0.0,0.0
72,chr1,119198244,119224953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
73,chr1,1242403,1245425,0.0,,-0.0,0.0,,0.03201,-0.0,0.0,-0.01562,-0.025,0.0,-0.01667,-0.01282,-0.0,0.0,,0.00433,0.0,-0.01562,0.0,0.00149,-0.0098,0.0,-0.01667,-0.01282,0.02736,0.0,0.00692
74,chr1,119480895,119484040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
75,chr1,56253121,56297700,,,-0.0,,,,,,-0.0,,,,,-0.0,,,,,-0.0,0.0,-0.0,0.0,,,,,,
76,chr1,207737331,207737823,0.02911,-0.03486,0.016,0.00093,0.04085,0.00918,-0.00746,-0.04762,-0.00745,-0.0199,-0.02174,-0.01667,0.01032,-0.0355,-0.03774,-0.03704,-0.06047,-0.02145,-0.02088,-0.0019,-0.01561,0.00168,-0.01732,-0.02479,-0.00684,-0.01035,0.01714,-0.00153
77,chr1,207842353,207849064,0.03804,0.00544,0.05732,0.03804,0.04424,0.03916,0.06407,,,,,,,,,,,,,,,,,,,,,
78,chr1,207839331,207849064,0.04126,0.00592,0.06207,0.04126,0.04796,0.04247,0.06933,,,,,,,,,,,,,,,,,,,,,
79,chr1,207739363,207743430,0.03354,-0.02667,0.03713,0.00936,0.04463,0.01664,-0.01013,-0.04762,-0.01265,-0.0199,-0.02174,-0.01667,0.03904,-0.0333,-0.03774,-0.03704,-0.06047,-0.02178,-0.02091,-0.00852,-0.01521,0.0488,-0.01732,-0.02479,0.01574,-0.01035,0.05163,0.02315
80,chr1,207737823,207739263,0.04688,0.00676,0.03933,0.00974,0.01932,0.01148,-0.00436,,0.0,0.0,0.0,0.0,0.05857,0.0,0.0,0.0,0.0,0.00774,-0.01562,-0.01429,-0.01538,0.06628,-0.02174,-0.02439,0.02732,-0.02128,0.03946,0.02949
81,chr1,1680510,1683770,0.00875,-0.0325,0.00473,0.31499,0.04766,-0.01269,0.02148,0.0,0.01214,0.33375,0.04787,0.02439,0.02,-0.0112,-0.04811,-0.01246,-0.06047,-0.00543,0.06372,0.00437,-0.00321,-0.00127,-0.01385,0.23477,0.00425,0.02682,-0.01018,0.00954
82,chr1,1417048,1431547,0.00333,-0.02872,0.00739,0.02585,0.0039,-0.01763,0.00575,0.0,-0.0058,0.0209,,0.0,,0.00704,0.04431,-0.0,-0.04545,0.0,0.00169,-0.00684,0.00401,-0.01033,0.02338,0.02675,0.03018,-0.0,,0.0
83,chr1,1623360,1631312,0.0273,-0.0325,0.01208,0.31499,-0.01341,0.01875,-0.00655,0.04348,0.02264,0.34165,0.00219,0.03314,0.00308,-0.00855,-0.04811,-0.01117,-0.01382,-0.00533,0.02223,-0.01229,-0.01473,0.00211,0.04496,-0.01457,0.10759,-0.01106,-0.01313,0.00603
84,chr1,1408066,1410530,0.00333,0.011,0.00396,-0.018,0.0039,-0.01763,-0.00909,0.0,-0.00723,-0.0,,0.0,0.0,-0.00065,0.01718,0.0,0.01645,0.00637,-0.00054,-0.00852,-0.00056,-0.00096,-0.0,-0.02439,-0.01282,-0.0,0.0,-0.01266
85,chr1,1635721,1638904,0.00333,-0.01034,-0.00887,0.31775,-0.00152,-0.015,-0.00766,0.0,0.00898,0.32673,0.01911,0.00924,0.0053,-0.00764,0.04691,-0.00881,-0.01844,-0.00489,0.27033,-0.01011,-0.0151,-0.00956,0.17257,0.24251,0.26574,-0.01407,-0.00737,-0.01151
86,chr1,1386045,1387439,-0.00316,-0.00078,-0.01054,-0.0065,-0.00665,-0.00642,-0.0125,0.00476,-0.00921,-0.0165,0.02935,-0.01601,0.00823,-0.0,-0.0,,0.0,0.0,-0.01072,0.0,-0.01056,-0.00783,-0.0,-0.02439,-0.00489,-0.0,-0.0,-0.00483
87,chr1,1636789,1678253,-0.01644,0.46989,0.0293,0.1277,0.03211,0.02154,-0.00399,0.63333,0.02315,0.12616,0.0293,0.02105,-0.00467,0.16282,0.24342,0.22907,0.26984,0.25782,0.00433,-0.01427,-0.01564,0.00806,-0.00309,-0.00141,0.065,-0.02109,0.00656,-0.00054
88,chr1,1410530,1412752,0.00333,0.00046,0.00396,-0.018,-0.00294,-0.01763,-0.00909,,-0.00723,-0.0,0.0,0.0,0.0,-0.00097,-0.0,0.0,0.0,0.0,-0.00054,-0.00571,-0.00056,-0.00096,-0.00825,-0.02439,-0.01282,-0.00808,-0.00455,-0.01266
89,chr1,1647577,1653936,0.00875,0.00122,0.00756,0.33281,-0.0126,-0.01269,-0.00925,,0.03609,0.385,0.01399,0.02439,0.00847,0.00501,0.1,0.00226,0.00433,0.00107,0.19567,-0.01082,-0.0107,0.00344,0.23489,0.24433,0.29502,-0.02065,-0.01183,-0.01106
90,chr1,1671041,1678253,-0.01644,-0.02881,0.00355,0.27328,0.01414,0.00527,0.006,-0.04762,-0.00126,0.24364,0.00787,-0.0,0.00102,-0.03695,-0.08019,-0.05897,0.0,-0.02851,0.172,-0.01227,0.03226,-0.00968,0.13095,0.3244,0.15733,0.05641,-0.01071,0.02838
91,chr1,1640539,1647577,0.00875,-0.0325,0.00994,0.33281,-0.01001,-0.01269,-0.00936,0.0,0.03977,0.385,0.02107,0.02439,0.00245,-0.03799,-0.08308,-0.04667,-0.06047,-0.01783,0.19366,-0.01108,-0.00999,0.01709,0.23258,0.24433,0.33349,-0.0207,-0.00449,-0.00635
92,chr1,1669152,1678253,-0.01158,-0.02407,0.00497,0.335,0.01395,0.00299,-0.00359,-0.06847,0.01457,0.35713,0.02971,-0.0214,0.00362,-0.0063,0.10558,-0.00508,-0.47619,-0.00868,0.2073,-0.01282,0.03371,-0.00743,0.17917,0.42123,0.24571,0.05927,-0.00487,0.01839
93,chr1,1593452,1601225,0.00875,-0.0179,-0.00326,0.31499,-0.01918,-0.01269,-0.00655,0.0,0.0043,0.33375,-0.01352,0.02439,-0.00088,-0.02781,-0.19459,-0.01236,-0.03307,-0.01514,0.07629,-0.00391,-0.00691,-0.00801,0.23785,0.23477,0.10759,-0.01441,-0.00715,-0.00635
94,chr1,1593452,1603222,,,0.01109,-0.0,0.02389,0.0,-0.00426,,0.00746,0.0,0.01756,-0.0,-0.00273,0.00101,-0.0,0.00285,0.0,-0.00034,-0.01611,0.02704,-0.01562,-0.00159,0.02584,-0.02439,-0.00948,0.02545,0.00944,-0.00943
95,chr1,1614123,1678253,-0.00596,0.3,0.01092,0.29033,0.01277,-0.00448,-0.0088,0.63333,0.03165,0.35153,0.04262,0.02105,0.0021,0.14395,0.04667,0.19231,0.26984,0.1954,0.15376,-0.01419,-0.01442,0.00367,0.14307,0.18009,0.24451,-0.01843,0.00382,-0.00825
96,chr1,1640539,1656151,0.00875,0.475,0.01932,0.33281,-0.0126,0.00281,-0.00991,1.0,0.04854,0.385,0.01399,0.05,0.0053,0.18687,0.05714,0.33929,0.34286,0.36691,0.1669,-0.00526,-0.01429,0.02355,0.23489,0.18857,0.32842,-0.01646,-0.00957,0.00561
97,chr1,1640539,1640838,0.00875,-0.15869,0.00994,0.33281,-0.01689,-0.01269,-0.00971,-0.36082,0.03977,0.385,-0.00187,0.02439,0.00392,-0.09217,-0.10582,-0.14653,-0.18135,-0.11231,0.19366,0.00223,-0.00999,0.01535,0.28764,0.24433,0.33201,-0.01664,-0.01362,-0.00754
98,chr1,1633710,1634508,0.0052,-0.00865,-0.00992,0.02915,-0.00593,-0.00075,-0.01003,0.04348,0.00837,0.17093,-0.01499,0.03314,0.00308,-0.00664,-0.04296,-0.00237,-0.01382,-0.00533,0.00495,0.00047,-0.00897,-0.00683,0.10165,-0.02363,0.0412,0.02098,-0.00629,0.00603
99,chr1,1607184,1638357,-0.01644,0.09315,0.00124,0.26452,-0.01626,-0.01125,-0.00936,0.14259,0.00017,0.24503,-0.01888,-0.01328,-0.01025,0.02622,-0.05571,0.07509,0.06072,0.05189,0.16185,-0.00746,-0.01393,-0.00137,0.21542,0.17916,0.23075,-0.01793,-0.01274,-0.00989
100,chr1,1656151,1678253,-0.01228,-0.03654,0.00697,0.33281,0.01164,-0.01423,-0.00384,-0.04762,0.01507,0.35153,0.02442,-0.02294,0.0021,-0.0398,-0.08254,-0.06132,-0.06151,-0.0296,0.20247,-0.01378,0.00878,-0.00647,0.17917,0.34184,0.24451,0.01578,-0.0057,-0.00205
101,chr1,1634508,1635721,-0.00847,-0.00093,0.00109,0.2375,-0.01474,0.01666,-0.00714,0.0,0.00211,0.25455,-0.01352,0.0142,-0.004,-0.00886,-0.05045,-0.01357,-0.01319,-0.00237,0.05729,-0.00602,-0.00784,-0.00573,0.1735,-0.01852,0.08379,0.0065,-0.00808,0.00546
102,chr1,1385229,1397291,0.00875,0.00122,-0.00713,-0.01667,-0.01366,0.00243,-0.00361,,-0.00054,-0.0,0.01756,-0.0,0.0,-7e-05,-0.0,0.00285,-0.0,0.0,-0.01529,-0.00276,-0.00598,-0.00992,-0.01766,-0.00924,-0.01282,0.00938,0.00216,-0.00483
103,chr1,1671041,1683770,-0.00596,-0.03895,-0.00861,0.25837,-0.00627,0.01496,-0.01012,-0.04762,0.00561,0.3193,0.0165,-0.01619,-0.00311,-0.03799,-0.0853,-0.06453,-0.03307,-0.02779,0.20447,-0.01286,0.02831,-0.00715,0.17997,0.38852,0.24237,0.05261,-0.00459,0.01324
104,chr1,1656932,1683770,0.00149,-0.04054,-0.0056,0.2529,-0.01383,-0.00375,0.0009,-0.04762,0.02091,0.35153,-0.01237,-0.02294,-0.01052,-0.03934,-0.08254,-0.04481,-0.06151,-0.02234,0.17961,-0.00164,0.0144,0.02341,0.27201,0.34184,0.34025,-0.0162,-0.01043,-0.01061
