,Chromosome,Start,End,AFR-AMR,AFR-EAS,AFR-EUR,AFR-SAS,AMR-EAS,AMR-EUR,AMR-SAS,EAS-EUR,EAS-SAS,EUR-SAS
651,chr1,172051330,172052839,0.06667,0.09818,0.03464,0.00114,0.00264,0.20003,0.05634,0.24694,0.0855,0.06038
657,chr1,173591412,173592512,0.17214,0.23877,0.18611,0.20494,0.02556,0.01965,0.02175,0.0,0.0,0.0
659,chr1,173819637,173911326,0.12131,0.35107,0.1165,0.23882,0.14671,0.00028,0.05267,0.15617,0.041,0.05238
664,chr1,176944155,176960907,0.08254,0.05834,0.23147,0.04726,0.00379,0.05821,0.00748,0.09229,0.00061,0.11787
670,chr1,178715666,178719675,0.1563,0.31851,0.17643,0.2775,0.09465,0.00807,0.0814,0.06494,0.0,0.05714
681,chr1,181661899,181664738,0.16628,0.04606,0.17677,0.10267,0.41817,0.0021,0.0119,0.46488,0.33335,0.02506
685,chr1,183359904,183363703,0.07841,0.15023,0.04712,0.01389,0.36511,0.00403,0.18158,0.29654,0.08041,0.132
701,chr1,188620596,188623846,0.30504,0.14726,0.12897,0.12944,0.0479,0.06,0.06057,0.00035,0.00052,2e-05
716,chr1,191203893,191246236,0.18853,0.20756,0.30965,0.19248,1e-05,0.00538,3e-05,0.00518,8e-05,0.00648
717,chr1,191293969,191296078,0.27127,0.2325,0.31865,0.16665,0.00695,0.01905,0.02163,0.04579,0.00471,0.07494
721,chr1,192843967,192846881,0.05879,0.28429,0.00167,0.09702,0.13091,0.04478,0.00635,0.33383,0.11997,0.09387
746,chr1,198399641,198403400,0.20614,0.45841,0.14021,0.26929,0.15495,0.00404,0.01527,0.1847,0.08778,0.03216
767,chr1,205313270,205324309,0.2024,0.22521,0.33516,0.2043,0.00712,0.04437,0.00921,0.01268,0.00031,0.00761
773,chr1,207089585,207094544,0.00027,0.31949,0.05261,0.22692,0.29724,0.0455,0.213,0.15265,0.01174,0.08731
785,chr1,219140392,219142184,0.10558,0.00709,0.30051,0.04377,0.12458,0.09924,0.0174,0.31055,0.06775,0.16714
803,chr1,224260764,224296419,0.14038,0.1757,0.30871,0.22192,0.00251,0.07631,0.01508,0.05073,0.00482,0.0354
834,chr1,229376417,229377651,0.20631,0.16986,0.15787,0.02154,0.00458,0.00229,0.12716,0.00049,0.0847,0.09508
841,chr1,233212919,233214262,0.41064,0.20286,0.30416,0.27286,0.0872,0.03747,0.02419,0.01075,0.01727,0.00108
842,chr1,233569488,233570591,0.45708,0.82518,0.03939,0.27455,0.27849,0.2922,0.04081,0.71583,0.42112,0.13969
845,chr1,234483426,234484565,0.04276,0.22133,0.07157,0.07782,0.15598,0.01124,0.01167,0.11111,0.10417,0.0
848,chr1,234801530,234805368,0.29262,0.25176,0.38814,0.46499,0.00035,0.00631,0.01738,0.00291,0.01017,0.00239
854,chr1,235897967,235899073,0.09858,0.40635,0.1873,0.11504,0.18325,0.02674,0.00188,0.0744,0.14469,0.01398
883,chr1,244519281,244521043,0.28217,0.28154,0.27744,0.26429,0.00054,0.00263,8e-05,0.00539,0.00021,0.00376
891,chr1,245077535,245081338,0.1068,0.27765,0.13992,0.36709,0.06636,0.00332,0.12408,0.04089,0.00639,0.09471
892,chr1,245395988,245397803,0.07985,0.04398,1e-05,0.01621,0.24396,0.05917,0.13892,0.0294,0.00215,0.01114
895,chr1,245653830,245656139,0.05501,0.15068,0.06329,0.01567,0.02753,0.22944,0.01389,0.38964,0.08451,0.154
899,chr1,245996875,245999853,0.14883,0.20857,0.16116,0.17802,0.02556,0.01965,0.02175,0.0,0.0,0.0
901,chr1,246212157,246213248,0.11812,0.0675,0.1406,0.20822,0.01051,0.00452,0.01432,0.02615,0.05129,0.00167
905,chr1,246561221,246563047,0.11206,0.40893,0.09593,0.07721,0.26626,2e-05,0.00122,0.24092,0.22621,0.00134
914,chr1,248142135,248151046,0.25366,0.34047,0.27344,0.29787,0.03876,0.0299,0.03305,0.0,0.0,0.0
921,chr10,314698,317780,0.14148,0.05486,0.20063,0.09199,0.03131,0.01583,0.00856,0.08432,0.00816,0.05213
925,chr10,439787,441555,0.46575,0.52606,0.41307,0.44015,0.0061,0.00082,0.00025,0.0112,0.00876,0.00017
942,chr10,1615030,1616453,0.17547,0.26357,0.05091,0.21289,0.01778,0.05169,0.00635,0.12389,0.00331,0.09583
945,chr10,2494615,2495801,0.01413,0.15094,0.00441,0.00655,0.07058,0.03487,0.03839,0.19836,0.20211,0.00036
958,chr10,5169566,5171120,0.00059,0.14427,0.01787,0.01512,0.12077,0.02428,0.00936,0.24635,0.07419,0.06991
960,chr10,5247084,5253127,0.15532,0.40802,0.05158,0.07366,0.13917,0.04016,0.02126,0.36036,0.26459,0.00272
970,chr10,7034881,7036140,0.09626,0.00963,0.41247,0.30838,0.05231,0.14447,0.06449,0.34178,0.23506,0.0252
974,chr10,8270264,8271423,0.10107,0.21471,6e-05,0.01997,0.00876,0.07564,0.04685,0.16508,0.12123,0.0172
977,chr10,9488550,9494500,0.03092,0.24902,0.07556,0.06302,0.11618,0.00969,0.00538,0.05888,0.07432,0.00069
978,chr10,9712206,9843730,0.08232,0.27869,0.00118,0.22022,0.07438,0.10459,0.04569,0.319,0.00357,0.2792
990,chr10,12530761,12533287,0.02739,0.04585,0.00401,0.11018,0.00125,0.01001,0.21731,0.02062,0.27718,0.17119
1005,chr10,17287134,17291917,0.2186,0.24255,0.08387,0.03608,0.00295,0.04324,0.12275,0.06158,0.14426,0.02446
1009,chr10,18560784,18640461,0.0074,0.18332,0.02393,0.00466,0.26561,0.06403,0.02622,0.07823,0.13973,0.00918
1012,chr10,20578126,20590599,0.03743,0.06874,0.27794,0.02595,0.00805,0.14334,0.0011,0.08171,0.01368,0.16042
1027,chr10,24752580,24766127,0.00944,0.08103,0.04773,0.0517,0.04066,0.10528,0.02135,0.26357,0.00452,0.22695
1028,chr10,25436989,25443042,0.00436,0.1085,0.0276,0.12214,0.13007,0.00864,0.07521,0.21002,0.33727,0.04983
1049,chr10,30989105,30994119,0.15745,0.01125,0.26114,0.15385,0.1177,0.01285,0.00374,0.21009,0.10622,0.03245
1115,chr10,44059369,44060806,0.1882,0.59213,0.125,0.25032,0.23956,0.01408,0.00751,0.31429,0.16852,0.0407
1127,chr10,46647853,46701819,0.00485,0.14338,0.00827,0.00853,0.17356,0.00013,0.02373,0.26478,0.08334,0.04219
1132,chr10,52292542,52303493,0.27757,0.37559,0.03719,0.13907,0.00947,0.10847,0.03331,0.1757,0.07912,0.02807
1140,chr10,53872795,53878082,0.13753,0.19342,0.28129,0.18628,0.00639,0.02059,0.00191,0.00377,0.00143,0.01093
1159,chr10,57637098,57641440,0.32407,0.48354,0.30804,0.22051,0.03545,0.00027,0.01585,0.02621,0.09467,0.01867
1164,chr10,58304981,58307030,0.01227,0.04774,0.02691,0.07058,0.01246,0.00482,0.13274,0.00109,0.21381,0.1607
1186,chr10,66410346,66418708,0.24365,0.42401,0.386,0.2544,0.04173,0.00478,0.00204,0.01978,0.06359,0.01498
1211,chr10,70389305,70399393,0.09418,0.2469,0.00663,0.00111,0.04387,0.0502,0.09938,0.16425,0.23508,0.01524
1237,chr10,77455424,77460412,0.42135,0.20953,0.33173,0.32528,0.05767,0.00192,0.01123,0.03145,0.01845,0.00291
1247,chr10,80583589,80614729,0.05004,0.20652,0.03033,0.06256,0.06738,0.00157,0.00213,0.07961,0.03955,0.00661
1249,chr10,80834768,80836911,0.09171,0.14604,0.04901,0.08025,0.34451,0.01158,0.00021,0.26575,0.3197,0.00864
1250,chr10,80891569,80907360,0.00849,0.19738,0.00286,0.06112,0.22332,0.02329,0.11202,0.13441,0.063,0.03601
1252,chr10,81636623,81638322,0.01635,0.11223,0.00015,0.03535,0.16967,0.01217,0.00339,0.15982,0.22179,0.02946
1258,chr10,83241950,83244500,0.38992,0.26119,0.47564,0.4714,0.02678,0.03222,0.01815,0.09348,0.07738,0.00352
1263,chr10,84092550,84097612,0.1304,0.08476,0.28357,0.15828,0.00767,0.07537,0.0035,0.11664,0.02059,0.04982
1325,chr10,104137222,104139895,0.03846,0.11987,0.21925,0.09829,0.02803,0.11174,0.02123,0.02986,0.00021,0.03322
1333,chr10,106187110,106192890,0.07643,0.38543,0.09211,0.1227,0.16505,0.00058,0.00563,0.2657,0.16856,0.00367
1337,chr10,107436325,107438613,0.16287,0.1093,0.23123,0.17821,0.00759,0.00806,0.00047,0.03091,0.01181,0.00492
1354,chr10,113243416,113247903,0.05648,0.23584,0.08596,0.13668,0.07569,0.00342,0.01954,0.05014,0.02221,0.00744
1356,chr10,114975813,114977551,0.00824,0.04766,0.002,0.05094,0.11276,0.00213,0.02579,0.0791,0.22754,0.0418
1385,chr10,123483983,123493037,0.09277,0.00271,0.18756,0.01831,0.0813,0.03542,0.02802,0.20247,0.00967,0.11047
1386,chr10,124129436,124132921,0.05523,0.30476,0.01452,0.16992,0.13505,0.01354,0.04288,0.20532,0.02848,0.09956
1402,chr10,126389843,126394929,0.43777,0.40703,0.62161,0.42413,0.01052,0.08001,0.00298,0.1495,0.02257,0.04407
1405,chr10,127783977,127787330,0.16494,0.20446,0.1578,0.17439,0.01264,0.00969,0.01073,0.0,0.0,0.0
1412,chr10,128609642,128611884,0.13739,0.30306,0.10713,0.05899,0.12458,0.00082,0.02527,0.15982,0.20939,0.01676
1413,chr10,128693491,128696176,0.00726,0.03752,0.16453,0.01613,0.08462,0.12296,0.00228,0.33329,0.10615,0.09087
1419,chr10,130443826,130444974,0.18786,0.12427,0.29665,0.19963,0.00205,0.0168,0.00119,0.02517,0.00556,0.00833
1425,chr10,132045831,132049552,0.00211,0.18784,0.08406,0.26328,0.14747,0.06184,0.22407,0.02793,0.01414,0.07849
1431,chr10,133100076,133103196,0.00048,0.10882,0.07117,0.00893,0.08788,0.08079,0.00485,0.29383,0.06625,0.15705
1443,chr10,134060862,134067811,0.06228,0.01173,0.12604,0.00332,0.12054,0.01837,0.03932,0.20112,0.0273,0.10775
1469,chr11,1036509,1038060,0.01682,0.06458,0.00105,0.16569,0.12119,0.0088,0.23082,0.07035,0.03354,0.17576
1478,chr11,1365195,1366670,0.00421,0.07728,0.03529,0.01837,0.11258,0.01621,0.03981,0.20073,0.0236,0.10629
1481,chr11,2249226,2251329,0.07578,0.34951,0.03234,0.17954,0.17278,0.00451,0.0355,0.17549,0.07558,0.05299
1487,chr11,3186398,3187528,0.04057,0.22826,0.0745,0.02213,0.09033,0.00639,0.00357,0.06765,0.1491,0.02343
1492,chr11,3512609,3516522,0.01105,0.13731,0.00554,0.02959,0.09999,0.03789,0.00626,0.29412,0.06018,0.0763
1498,chr11,5162382,5164894,0.16405,0.40598,0.15643,0.11331,0.08975,0.00242,0.00776,0.11781,0.14122,0.00185
1502,chr11,5712210,5719062,0.03239,0.29111,0.03734,0.01381,0.13392,0.10829,0.07445,0.38006,0.34581,0.00936
1512,chr11,7827149,7828824,0.28045,0.12129,0.28498,0.27115,0.06648,0.00031,0.00278,0.06471,0.05082,0.00151
1521,chr11,9567314,9572794,0.00776,0.14973,0.09354,0.00941,0.23122,0.06068,9e-05,0.43385,0.25325,0.06241
1535,chr11,11890611,11892248,0.03823,0.34292,0.00357,0.09063,0.4622,0.09341,0.22888,0.27823,0.11609,0.06481
1536,chr11,12016085,12018843,0.28581,0.19546,0.27617,0.35908,0.00495,0.00269,0.02582,0.01256,0.04701,0.00986
1551,chr11,17285749,17287212,0.20164,0.23624,0.184,0.20267,0.01264,0.00969,0.01073,0.0,0.0,0.0
1594,chr11,25550670,25552998,0.16031,0.34229,0.0899,0.09444,0.07828,0.01219,0.00727,0.14378,0.11023,0.00027
1597,chr11,25787212,25854400,0.06451,0.21462,0.12975,0.08487,0.05382,0.01336,0.00192,0.01359,0.03449,0.00509
1608,chr11,29252752,29253776,0.04071,0.24352,0.32724,0.08394,0.08969,0.17604,0.00837,0.0327,0.0448,0.12823
1613,chr11,31508063,31511936,0.25244,0.0013,0.28871,0.22898,0.22078,0.00234,0.00162,0.25966,0.19987,0.00784
1618,chr11,32503222,32504584,0.02644,0.10358,0.05114,0.02221,0.21514,0.00605,0.10442,0.26832,0.03828,0.16592
1632,chr11,34824309,34825350,0.28742,0.1672,0.02146,0.05859,0.08562,0.45104,0.21958,0.29567,0.0462,0.1586
1639,chr11,36450021,36451957,0.10213,0.07432,0.23733,0.11013,0.00774,0.06883,0.00072,0.12685,0.01339,0.05707
1645,chr11,37827975,37831252,0.19176,0.29111,0.17605,0.26476,0.0246,6e-05,0.02921,0.02943,0.00108,0.03945
1680,chr11,46877240,46878856,0.07214,0.32131,0.01563,0.07373,0.10516,0.0173,0.0002,0.18257,0.12123,0.01677
1682,chr11,47192908,47199010,0.38651,0.08275,0.55946,0.46222,0.12908,0.04457,0.00533,0.26341,0.17728,0.02292
1693,chr11,48825658,49133349,0.28095,0.08459,0.25411,0.17355,0.08728,0.0009,0.03461,0.0857,0.01816,0.0396
1701,chr11,49915061,49916622,0.13594,0.27372,0.13058,0.28254,0.05428,0.0007,0.06317,0.03561,0.0008,0.0439
1751,chr11,58640037,58643936,0.18976,0.20347,0.15699,0.17351,0.0,0.0,0.0,0.0,0.0,0.0
1754,chr11,58813796,58818577,0.13206,0.29063,0.0607,0.09934,0.07686,0.0131,0.00854,0.11706,0.11766,0.00107
1758,chr11,61035544,61037609,0.34595,0.33702,0.3376,0.1732,0.00176,0.0049,0.06318,0.01156,0.04681,0.08829
1765,chr11,61981499,62078387,0.01822,0.04036,0.08199,0.00118,0.10566,0.02557,0.01167,0.22432,0.06335,0.08185
1775,chr11,63920837,63923891,0.30997,0.38822,0.28685,0.25919,0.02606,0.00223,0.00517,0.01414,0.053,0.01364
1777,chr11,64695589,64705876,0.27612,0.11668,0.04379,0.03537,0.04543,0.12004,0.13881,0.02069,0.02856,0.0006
1786,chr11,66388287,66390982,0.49495,0.35674,0.54465,0.59399,0.03398,0.00255,0.0124,0.05335,0.08505,0.0041
1798,chr11,67733976,67999772,0.32459,0.46856,0.17172,0.32369,0.02792,0.03821,0.00484,0.12339,0.06167,0.02292
1804,chr11,69078935,69080252,0.0357,0.20768,0.0435,0.03747,0.05808,0.11645,0.11236,0.33441,0.33466,0.00078
1805,chr11,69087071,69088432,0.05804,0.08475,0.00774,0.0973,0.00021,0.11457,0.00206,0.18356,0.00154,0.24344
1810,chr11,70387389,70390844,0.10129,0.29125,0.08328,0.05884,0.09171,0.00064,0.00601,0.11473,0.13155,0.00309
1839,chr11,81121716,81130305,0.00444,0.12456,0.01924,0.00546,0.20317,0.01307,0.00013,0.25137,0.20889,0.01317
1868,chr11,89092889,89095428,0.22233,0.33778,0.24362,0.25293,0.01385,0.0009,0.00116,0.00777,0.0072,2e-05
1877,chr11,90756165,90759165,0.3015,0.38543,0.31376,0.34011,0.03876,0.0299,0.03305,0.0,0.0,0.0
1889,chr11,93209801,93219548,0.00127,0.01588,0.07839,0.09176,0.02344,0.05812,0.10796,0.14978,0.03246,0.33964
1900,chr11,95443395,95449451,0.05503,0.07433,0.46994,0.06399,0.0031,0.21732,0.00137,0.15628,0.00028,0.16782
1931,chr11,104401250,104406726,0.20959,0.08505,0.10214,0.06986,0.03743,0.02843,0.05738,0.00163,0.00093,0.00605
1938,chr11,105426866,105432322,0.11137,0.20347,0.15699,0.17351,0.05226,0.04044,0.04465,0.0,0.0,0.0
1945,chr11,106922540,106925871,0.06012,0.16453,0.15093,0.25284,0.03981,0.02852,0.10385,0.00117,0.0183,0.02754
1947,chr11,107788603,107808148,0.03498,0.06828,0.08791,0.07555,0.20089,0.05785,0.02925,0.26921,0.25866,0.00609
1969,chr11,116144016,116145047,0.08799,0.12347,0.00875,0.0013,0.00622,0.18056,0.14099,0.21202,0.17588,0.0048
1992,chr11,121209368,121211485,0.22135,0.24102,0.25078,0.11895,0.00022,0.00528,0.01726,0.0036,0.02172,0.03755
2007,chr11,127912885,127914922,0.20439,0.02165,0.20059,0.09129,0.26367,0.00156,0.0236,0.29412,0.14902,0.01467
2033,chr11,134698928,134700987,0.35679,0.43598,0.17869,0.26615,0.00683,0.04623,0.06946,0.0873,0.13195,4e-05
2047,chr12,155931,159432,0.28686,0.13902,0.13129,0.18545,0.05971,0.06616,0.04214,0.00019,0.00318,0.00599
2055,chr12,1115542,1116940,0.23157,0.28481,0.0691,0.29199,0.00173,0.06279,0.0065,0.09345,0.00182,0.12122
2071,chr12,3941150,3942285,0.00486,0.02719,0.09668,0.01838,0.06005,0.11074,0.00667,0.22979,0.09542,0.08333
2099,chr12,8360266,8367466,0.04673,0.00568,0.29606,0.05912,0.08777,0.12429,0.00049,0.42609,0.11204,0.12802
2101,chr12,8423709,8425937,0.15864,0.21971,0.17032,0.18792,0.02556,0.01965,0.02175,0.0,0.0,0.0
2132,chr12,13267012,13273090,0.25805,0.15599,0.09818,0.23051,0.01828,0.04327,0.00048,0.0058,0.02044,0.04306
2135,chr12,14044654,14047367,0.10403,0.23705,0.16147,0.15365,0.04314,0.01328,0.00771,0.00968,0.01677,0.00099
2146,chr12,16144524,16145683,0.0119,0.01661,0.01803,0.11708,0.00035,0.06628,0.06616,0.0734,0.05731,0.24444
2174,chr12,25218019,25219215,0.14092,0.17126,0.35451,0.06574,0.00433,0.13663,0.01444,0.0746,0.02954,0.19888
2184,chr12,33103347,33116561,0.0465,0.0531,0.21044,0.05248,0.20526,0.12771,0.00082,0.44486,0.21076,0.10588
2186,chr12,33433386,33435233,0.16115,0.00915,0.00751,0.00438,0.21007,0.09714,0.10467,0.03492,0.02459,0.00031
2188,chr12,33735411,33741768,0.12995,0.04408,0.224,0.07539,0.26016,0.01352,0.00514,0.40165,0.18708,0.03411
2191,chr12,38753557,38757793,0.02818,0.29361,0.11932,0.09309,0.21545,0.04031,0.02621,0.114,0.1387,0.00149
2192,chr12,39013606,39039207,0.07494,0.21332,0.11124,0.07817,0.04619,0.00367,0.00036,0.02831,0.03561,0.0015
2199,chr12,40458647,40464943,0.15862,0.0826,0.18728,0.27357,0.01323,0.00993,0.05093,0.03552,0.08613,0.01467
2204,chr12,42584229,42591453,0.12134,0.21229,0.02307,0.07143,0.01936,0.04197,0.01171,0.1015,0.05773,0.01317
2205,chr12,42821031,42822192,0.23411,0.36078,0.54622,0.45779,0.02232,0.18658,0.08935,0.10294,0.02735,0.03571
2207,chr12,43483594,43484673,0.01371,0.24517,0.04462,0.05525,0.18328,0.01195,0.0173,0.13224,0.09817,0.00062
2213,chr12,45468053,45474838,0.02021,0.34704,0.03421,0.11833,0.27098,0.10495,0.05206,0.55297,0.11914,0.2671
2216,chr12,46935035,46936081,0.44737,0.20261,0.49472,0.40428,0.10653,0.00186,8e-05,0.13072,0.09006,0.00251
2222,chr12,48276125,48278250,0.16965,0.01125,0.33516,0.48133,0.123,0.06477,0.21322,0.28416,0.43433,0.05576
2223,chr12,48293017,48295903,0.00031,0.0939,0.00149,0.10655,0.12535,0.00063,0.10923,0.12629,0.33983,0.08483
2231,chr12,49841091,49842505,0.09678,0.02491,0.05001,0.0292,0.03025,0.2336,0.02432,0.13634,0.00033,0.15964
2234,chr12,50542978,50544774,0.07569,0.21167,0.02732,0.011,0.0531,0.15924,0.03267,0.26063,0.13847,0.09054
2273,chr12,58093634,58097749,0.18976,0.20347,0.15699,0.17351,0.0,0.0,0.0,0.0,0.0,0.0
2277,chr12,58946207,58953256,0.02955,0.30317,0.11675,0.18379,0.19057,0.0417,0.0917,0.06229,0.01418,0.01295
2285,chr12,61034520,61039241,0.33272,0.17011,0.0764,0.21167,0.04439,0.10914,0.03778,0.01722,0.00102,0.03137
2298,chr12,66111263,66115978,0.31221,0.11674,0.15253,0.02983,0.56058,0.03061,0.16786,0.39695,0.22102,0.05569
2303,chr12,69143315,69145250,0.12501,0.20324,0.04615,0.09309,0.01936,0.04043,0.01215,0.09446,0.05712,0.01364
2306,chr12,70180510,70183191,0.01942,0.29014,0.00138,0.05507,0.42169,0.01198,0.13101,0.341,0.09183,0.07579
2313,chr12,71772858,71774273,0.01132,0.01191,0.20461,7e-05,0.04959,0.15854,0.01031,0.34648,0.01475,0.2531
2333,chr12,78272286,78278110,0.07343,0.00195,0.2521,0.01535,0.05013,0.10153,0.02083,0.21954,0.00638,0.178
