,Chromosome,Start,End,AFR-AMR,AFR-EAS,AFR-EUR,AFR-SAS,AMR-EAS,AMR-EUR,AMR-SAS,EAS-EUR,EAS-SAS,EUR-SAS
137,chr1,24832196,24835020,0.12193,0.20689,0.16005,0.17924,0.03876,0.0299,0.03352,0.0,0.0,0.0
153,chr1,27458913,27511473,0.35892,0.00161,0.18659,0.09283,0.35042,0.07664,0.17469,0.17536,0.07668,0.03458
200,chr1,36958604,36960208,0.00604,0.16865,0.0139,0.00202,0.2145,0.03755,0.01458,0.09285,0.13619,0.00594
210,chr1,39532542,39535584,0.12606,0.24348,0.19034,0.16458,0.06607,0.0513,0.01206,0.0,0.0318,0.02495
218,chr1,40555979,40562918,0.00846,3e-05,0.24063,0.01256,0.00881,0.1662,0.00025,0.23478,0.01298,0.18692
238,chr1,46240191,46242954,0.01907,0.20888,0.23551,0.02064,0.1137,0.12836,5e-05,0.00025,0.105,0.12256
278,chr1,54626600,54630293,0.1681,0.1963,0.23776,0.1338,0.0013,0.00706,0.0078,0.00232,0.0158,0.03335
294,chr1,61647741,61653848,0.20738,0.16339,0.17409,0.04129,0.00257,0.00817,0.09895,0.00154,0.06859,0.06428
296,chr1,62157260,62158657,0.15139,0.0222,0.07759,0.02371,0.20195,0.02307,0.0675,0.15982,0.0824,0.01622
300,chr1,63239685,63242475,0.23878,0.24954,0.42863,0.18648,9e-05,0.01648,0.00508,0.02041,0.0042,0.04411
321,chr1,72300640,72346156,0.00869,0.13004,0.16641,0.01822,0.17884,0.2522,0.05399,0.00043,0.06126,0.10302
330,chr1,75377083,75383396,0.04689,0.09818,0.08583,0.06675,0.30311,0.00914,0.00339,0.42316,0.32719,0.00112
345,chr1,79571302,79572358,0.00645,0.04014,0.05294,0.00542,0.09601,0.04349,0.0001,0.21305,0.09804,0.0604
347,chr1,79756095,79757347,0.22329,0.15332,0.09846,0.04504,0.01223,0.03556,0.09012,0.00644,0.03889,0.01479
351,chr1,80939072,80945263,0.07369,0.48925,0.01551,0.08288,0.33855,0.02133,0.0026,0.40788,0.24903,0.03083
359,chr1,82660275,82661886,0.19984,0.18696,0.20085,0.20809,0.00263,0.00129,0.00033,0.008,0.00526,0.00039
363,chr1,84052242,84058953,0.05052,0.08899,0.007,0.00985,0.25591,0.02215,0.01754,0.18726,0.17836,0.00028
364,chr1,84246327,84250186,0.03147,0.04109,0.12371,0.00386,0.00038,0.23449,0.05143,0.25164,0.06213,0.09949
383,chr1,89010225,89012941,0.18074,0.06844,0.27935,0.17928,0.03557,0.01749,0.00021,0.09673,0.03137,0.02225
386,chr1,91766504,91767776,0.00284,0.12545,0.04036,0.2019,0.15568,0.02266,0.16009,0.26419,0.48412,0.06551
392,chr1,93822816,93825700,0.14829,0.47973,0.23776,0.34209,0.15616,0.01285,0.06139,0.08209,0.02379,0.01903
404,chr1,99924797,99928678,0.26905,0.32239,0.23747,0.07275,0.00621,0.00197,0.09115,0.01426,0.13284,0.07112
417,chr1,103561098,103791638,0.04538,0.05821,0.05646,0.00842,0.0022,0.27528,0.03348,0.31616,0.05254,0.14636
423,chr1,104712410,104713566,0.07929,0.0462,0.15715,0.04685,0.23931,0.0329,0.0033,0.34923,0.17661,0.04899
436,chr1,108190715,108194629,0.35388,0.37123,0.17437,0.37077,0.00115,0.06401,0.00228,0.0771,0.00678,0.05423
439,chr1,108481928,108483660,0.12036,0.26888,0.12867,0.12287,0.07583,0.00241,6e-05,0.07267,0.09567,0.00217
460,chr1,112149168,112162081,0.06025,0.16699,0.22304,0.23856,0.02356,0.03215,0.05822,0.00048,0.00968,0.00631
468,chr1,113344844,113345875,0.20922,0.46407,0.03683,0.0377,0.07902,0.10201,0.10954,0.30918,0.32979,1e-05
469,chr1,113497205,113503255,0.10658,0.28204,0.00019,0.00583,0.05545,0.10201,0.06605,0.25163,0.21328,0.0096
478,chr1,117337783,117339212,0.00089,0.07906,0.09551,0.00125,0.08019,0.11447,4e-05,0.30135,0.0824,0.11664
537,chr1,152213251,152220287,0.01261,0.02006,0.21391,0.07035,0.00122,0.16308,0.02409,0.13594,0.0087,0.1427
541,chr1,152549244,152616551,0.00257,0.06684,0.27813,0.02754,0.08144,0.29815,0.04281,0.09292,0.01046,0.18259
542,chr1,152787869,152798352,0.00062,0.03946,0.17497,0.01487,0.02681,0.17839,0.00851,0.3375,0.00765,0.27085
560,chr1,155689968,155694673,0.42387,0.46613,0.38941,0.42229,0.01264,0.00969,0.01089,0.0,0.0,0.0
569,chr1,158897740,158900191,0.14608,0.28696,0.02371,0.1215,0.0573,0.0481,0.0005,0.15735,0.06053,0.03679
577,chr1,160965230,160970121,0.0683,0.01452,0.17437,0.24385,0.02049,0.03816,0.07452,0.1015,0.15679,0.00466
597,chr1,168055321,168056494,0.07667,0.58529,0.2583,0.33739,0.35427,0.0723,0.12302,0.14858,0.09829,0.0072
610,chr1,174233464,174234564,0.18891,0.25778,0.20235,0.22526,0.02556,0.01965,0.02206,0.0,0.0,0.0
612,chr1,174461656,174553337,0.14821,0.24981,0.04745,0.15642,0.03566,0.04928,0.00048,0.17834,0.0401,0.06926
623,chr1,179360617,179364625,0.15258,0.31406,0.17308,0.27709,0.09465,0.00807,0.08251,0.06494,0.0,0.05781
637,chr1,184845594,184851650,0.03606,0.27169,0.05874,0.16739,0.13024,0.0035,0.05276,0.09404,0.02763,0.03059
645,chr1,187495965,187497580,0.02914,0.05738,0.1078,0.02707,0.1476,0.24561,0.1062,0.00736,0.00566,0.03124
648,chr1,187746973,187753401,0.17618,0.02486,0.29814,0.179,0.23709,0.0111,8e-05,0.39122,0.24276,0.00908
668,chr1,191947314,191949423,0.28369,0.24422,0.3324,0.18394,0.00695,0.01905,0.0189,0.04579,0.00347,0.06963
681,chr1,194482007,194485182,0.00408,0.0232,0.04412,0.09045,0.04997,0.09587,0.07974,0.00372,0.19015,0.2871
700,chr1,198804620,198806285,0.23217,0.52047,0.18055,0.2901,0.1984,0.00106,0.02626,0.18973,0.07745,0.0316
701,chr1,199140919,199144677,0.20125,0.45969,0.1358,0.2728,0.15495,0.00404,0.01697,0.1847,0.08379,0.03441
709,chr1,201256653,201258130,0.19576,0.00114,0.22715,0.21138,0.1682,0.00012,0.01045,0.2,0.18671,0.00861
713,chr1,203918538,203920758,0.21167,0.31022,0.24727,0.27352,0.03876,0.0299,0.03352,0.0,0.0,0.0
721,chr1,206049268,206060308,0.03475,0.14232,0.33241,0.1456,0.05282,0.21194,0.06516,0.0439,0.00265,0.01891
728,chr1,207842836,207847796,0.00027,0.31795,0.05235,0.21728,0.29724,0.0455,0.20373,0.15265,0.01608,0.07856
736,chr1,210428015,210440839,0.00188,0.00122,0.18194,0.00876,0.00561,0.20958,0.0173,0.14828,0.00336,0.10585
742,chr1,212297793,212299274,0.27233,0.47485,0.31521,0.19457,0.06592,0.00144,0.00608,0.04758,0.10102,0.01324
745,chr1,212910885,212912827,0.41178,0.54115,0.22607,0.4005,0.02312,0.04162,2e-05,0.12311,0.02126,0.04248
753,chr1,215278665,215356190,0.22596,0.07019,0.09394,0.0,0.10758,0.08425,0.1861,0.00038,0.05481,0.07831
758,chr1,217522706,217524322,0.01962,0.00414,0.24857,0.00568,0.03703,0.3504,0.03935,0.18896,0.00021,0.16614
762,chr1,218005857,218018650,0.27132,0.45077,0.08738,0.26529,0.1401,0.07869,0.00215,0.30095,0.07293,0.08625
799,chr1,228556391,228631157,0.04376,0.00457,0.13015,0.004,0.07374,0.2991,0.0698,0.09358,0.0,0.09293
817,chr1,233826463,233827806,0.42918,0.22323,0.33162,0.28036,0.08069,0.03279,0.02369,0.01075,0.01422,0.00043
818,chr1,234182898,234184001,0.45505,0.82403,0.03872,0.28172,0.27849,0.2922,0.03865,0.71583,0.4194,0.14552
821,chr1,235091681,235092820,0.0456,0.22747,0.0751,0.08484,0.15598,0.01124,0.01303,0.11111,0.1001,4e-05
823,chr1,235373750,235375022,0.12748,0.20521,0.0568,0.07487,0.01799,0.01226,0.01012,0.0524,0.054,0.00036
830,chr1,236755603,236757177,0.31719,0.1454,0.36082,0.1458,0.06122,0.00802,0.05797,0.10279,0.0001,0.10675
865,chr1,245991751,245992854,0.00833,0.03514,0.17974,0.00162,0.05537,0.07751,0.01238,0.28879,0.01465,0.16324
874,chr1,247115869,247118523,0.17456,0.30335,0.07936,0.05067,0.03605,0.02525,0.06324,0.11871,0.18896,0.00822
875,chr1,247128850,247129993,0.10132,0.25808,0.14825,0.10338,0.09499,0.0247,0.00077,0.01693,0.07095,0.01559
884,chr1,248674922,248677599,0.19221,0.01915,0.02836,0.02968,0.11076,0.2743,0.06454,0.0851,0.00281,0.0914
885,chr1,248703886,248712788,0.26251,0.35039,0.28263,0.31108,0.03876,0.0299,0.03352,0.0,0.0,0.0
891,chr10,321484,324129,0.2548,0.11063,0.24019,0.28632,0.04987,4e-05,0.00324,0.05079,0.07481,0.00308
894,chr10,447136,448904,0.43549,0.49759,0.38358,0.45764,0.0061,0.00082,0.00363,0.0112,0.00028,0.00801
897,chr10,735394,738702,0.12784,0.24671,0.01541,0.0832,0.0744,0.08819,0.00301,0.18033,0.08186,0.04372
910,chr10,2495913,2497153,0.04241,0.0,0.2241,0.0171,0.03876,0.09341,0.00956,0.21127,0.01571,0.14511
919,chr10,4247870,4249490,0.39154,0.44439,0.44654,0.54869,0.00855,0.01846,0.08109,0.00139,0.03215,0.02704
922,chr10,4666325,4668321,0.25371,0.41098,0.15993,0.25823,0.02685,0.01698,0.00105,0.09504,0.0488,0.01324
925,chr10,5245336,5251382,0.12603,0.36235,0.04408,0.05016,0.13917,0.02969,0.02499,0.3304,0.27537,0.00013
927,chr10,5847596,5850854,0.42319,0.62101,0.32446,0.51219,0.05512,0.01156,0.01107,0.11358,0.01789,0.04583
929,chr10,6369601,6375667,0.0007,0.13785,0.00251,0.0,0.1377,0.00616,0.00082,0.20317,0.16061,0.00254
933,chr10,7035078,7036337,0.08329,0.00499,0.39273,0.27301,0.05231,0.14447,0.05715,0.34178,0.2208,0.02982
951,chr10,12518460,12520974,0.02682,0.04495,0.00172,0.10753,0.00145,0.01506,0.22282,0.02837,0.27814,0.16068
966,chr10,17268723,17273506,0.21748,0.24125,0.08347,0.05236,0.00295,0.04324,0.10338,0.06158,0.12601,0.01342
970,chr10,18541537,18621347,0.00927,0.29576,0.00843,0.05637,0.27011,3e-05,0.02753,0.23234,0.12823,0.02202
972,chr10,19707622,19709079,0.37911,0.10625,0.2514,0.22465,0.11115,0.02588,0.04407,0.03381,0.02114,0.0023
973,chr10,20559564,20572038,0.00134,0.04066,0.30268,0.02365,0.02726,0.26481,0.0136,0.13373,0.00464,0.18915
983,chr10,24087908,24093892,0.21001,0.03976,0.39273,0.19763,0.30631,0.0398,0.00033,0.51308,0.30212,0.04777
987,chr10,24733952,24747520,0.02143,0.15542,0.0212,0.07503,0.06817,0.08627,0.01807,0.30479,0.02126,0.19765
995,chr10,27314818,27417441,0.01051,0.00115,0.0305,0.22695,0.0146,0.00686,0.1626,0.03271,0.19813,0.10076
1009,chr10,30957824,30962838,0.15658,0.01117,0.26014,0.14731,0.1177,0.01285,0.00462,0.21009,0.10146,0.03491
1010,chr10,31154421,31155935,0.36025,0.11809,0.42577,0.27356,0.0928,0.00912,0.01031,0.14204,0.04309,0.03795
1023,chr10,35930733,35932138,0.07209,0.38002,0.04593,0.07055,0.22504,0.00687,0.00017,0.23669,0.22147,0.00521
1069,chr10,45766847,45820745,0.0602,0.11741,0.00975,0.04949,0.25364,0.02552,0.18473,0.1591,0.01719,0.10048
1080,chr10,50149861,50151310,0.22463,0.28776,0.22787,0.25275,0.02556,0.01965,0.02206,0.0,0.0,0.0
1086,chr10,52255853,52258369,0.20395,0.04372,0.18882,0.06768,0.081,0.00456,0.04678,0.05864,0.00418,0.02944
1090,chr10,53023782,53029067,0.15263,0.20875,0.30444,0.19617,0.00639,0.02059,0.00112,0.00377,0.00231,0.01324
1092,chr10,53322415,53330591,0.10296,0.28674,0.06895,2e-05,0.0654,0.00459,0.09339,0.09528,0.25585,0.06926
1111,chr10,57450027,57452076,0.01344,0.05012,0.02855,0.0724,0.01246,0.00482,0.13823,0.00109,0.22088,0.16612
1126,chr10,63749488,63751639,0.03356,0.23745,0.00333,0.01578,0.15495,0.01812,0.00222,0.27734,0.14826,0.00559
1131,chr10,65547174,65555536,0.24245,0.42227,0.38477,0.2436,0.04173,0.00478,0.00298,0.01978,0.06845,0.01748
1178,chr10,76495814,76501261,0.17435,0.03407,0.31974,0.20453,0.07733,0.05747,0.00279,0.23033,0.10632,0.03842
1179,chr10,76586831,76591819,0.44181,0.22796,0.35159,0.35758,0.05767,0.00192,0.00779,0.03145,0.02307,0.00143
1191,chr10,79745428,79868173,0.01613,0.20129,0.04218,0.02426,0.14342,0.01511,0.0031,0.05668,0.09672,0.0041
1192,chr10,79965529,79967669,0.09453,0.14311,0.05099,0.08463,0.34451,0.01158,0.00015,0.26575,0.32361,0.00908
1194,chr10,80990540,80992893,0.06493,0.13908,0.1423,0.21681,0.02007,0.03056,0.07999,0.00117,0.0217,0.01342
1201,chr10,82368058,82370608,0.40844,0.27658,0.49704,0.49802,0.02678,0.03222,0.01957,0.09348,0.08027,0.0029
1236,chr10,92374855,92377893,0.26679,0.0801,0.33739,0.14789,0.08736,0.0209,0.04184,0.16423,0.01427,0.1294
1239,chr10,92673689,92676024,0.00613,0.08331,0.33394,0.05752,0.12741,0.4422,0.09929,0.1173,0.0016,0.14717
1261,chr10,100398551,100399780,0.13361,0.12532,0.22611,0.05057,2e-05,0.0129,0.03012,0.01119,0.02874,0.08587
1269,chr10,103293407,103294435,0.02831,0.01288,0.2525,0.12394,0.00418,0.13903,0.0405,0.18962,0.07141,0.03352
1276,chr10,105296845,105302599,0.07473,0.382,0.09035,0.12596,0.16505,0.00058,0.00678,0.2657,0.16189,0.00475
1278,chr10,106236236,106237976,0.40988,0.25659,0.42702,0.07458,0.05976,0.01866,0.21192,0.10836,0.06665,0.26492
1279,chr10,106270559,106272783,0.41948,0.67793,0.64563,0.34209,0.0444,0.04172,0.01792,0.00029,0.13359,0.12412
1291,chr10,109812352,109818458,0.27294,0.37939,0.46485,0.3054,0.01619,0.10829,0.00082,0.05504,0.01209,0.1345
1297,chr10,112352423,112356900,0.06675,0.25392,0.09983,0.13824,0.07569,0.00342,0.01411,0.05014,0.02816,0.00408
1314,chr10,120467142,120469314,0.29126,0.45515,0.2482,0.2868,0.03727,0.00223,0.00027,0.07195,0.05497,0.00117
1360,chr10,131110795,131114516,0.00371,0.19741,0.09287,0.25874,0.14747,0.06184,0.20952,0.02793,0.01041,0.06886
1370,chr10,132505259,132506674,0.23141,0.15118,0.01705,0.11656,0.01361,0.14874,0.03456,0.07487,0.00429,0.05553
1394,chr11,1058849,1060224,0.11505,0.0005,0.05304,0.01478,0.12555,0.30448,0.05428,0.04336,0.01995,0.12624
1397,chr11,1154547,1155958,0.04959,0.26174,0.14085,0.28489,0.09694,0.03187,0.11046,0.014,1e-05,0.01726
1402,chr11,1351880,1352976,0.03311,0.07263,0.08573,0.03144,0.20414,0.23015,0.12848,0.00334,0.00703,0.01839
1405,chr11,1633067,1635472,0.0191,0.24174,0.05651,0.15468,0.27907,0.02437,0.14629,0.18519,0.04826,0.06206
1408,chr11,2300048,2330136,0.06638,0.3997,0.0384,0.04705,0.17385,0.15884,0.00537,0.49192,0.2643,0.18204
1415,chr11,3467149,3471062,0.01413,0.13144,0.00721,0.01954,0.08593,0.04896,0.00073,0.29412,0.07371,0.0618
1416,chr11,3627948,3631048,0.08711,0.39673,0.43051,0.22732,0.14166,0.13173,0.03704,0.00088,0.03623,0.02829
1420,chr11,4946398,4955581,0.06894,0.16583,0.28818,0.01724,0.02109,0.07633,0.02211,0.01826,0.08619,0.1966
1425,chr11,5654329,5661197,0.0367,0.3002,0.0335,0.01245,0.13392,0.10829,0.07751,0.38006,0.35173,0.00822
1435,chr11,7768787,7770462,0.28441,0.12509,0.28984,0.25477,0.06648,0.00031,0.00567,0.06471,0.03985,0.00405
1438,chr11,8818100,8979568,0.05923,0.04782,0.00015,0.07174,0.1586,0.06217,0.20903,0.03939,0.00075,0.0741
1442,chr11,9504239,9505263,0.28189,0.19541,0.41509,0.26226,0.01006,0.00493,0.00731,0.02972,0.00043,0.02951
1452,chr11,11801440,11803076,0.03979,0.3397,0.00314,0.08194,0.4622,0.09341,0.21748,0.27823,0.12339,0.05831
1464,chr11,17188205,17189668,0.19816,0.2333,0.18184,0.20302,0.01264,0.00969,0.01089,0.0,0.0,0.0
1491,chr11,23183931,23189290,0.03857,0.3278,0.13811,0.20093,0.20535,0.04826,0.0923,0.06667,0.0299,0.00758
1502,chr11,25410960,25413286,0.17088,0.3584,0.09765,0.08638,0.07828,0.01219,0.01242,0.14378,0.1233,0.00012
1517,chr11,29117837,29118861,0.04494,0.24911,0.33103,0.08764,0.08969,0.17604,0.00759,0.0327,0.04772,0.13277
1522,chr11,31372226,31376099,0.27007,0.00421,0.3088,0.25847,0.22078,0.00234,0.00093,0.25966,0.20912,0.00628
1527,chr11,32367744,32369106,0.03271,0.09085,0.05888,0.01631,0.21514,0.00605,0.10518,0.26832,0.03929,0.16687
1574,chr11,45408296,45410063,0.1169,0.04262,0.12018,0.20927,0.02856,0.0,0.01202,0.03053,0.08852,0.01512
1577,chr11,46180819,46311482,0.0015,0.01459,0.19845,0.00291,0.02227,0.20932,0.00745,0.11711,0.00326,0.14213
1580,chr11,47036037,47042140,0.35954,0.07735,0.4478,0.3173,0.11071,0.01229,0.01159,0.16992,0.06447,0.05014
1593,chr11,50407244,50457042,0.06594,0.01345,0.08135,0.00828,0.13294,0.31005,0.12345,0.03158,0.00055,0.04592
1633,chr11,58690547,58694447,0.19517,0.20908,0.16184,0.1812,0.0,0.0,0.0,0.0,0.0,0.0
1636,chr11,58864299,58869080,0.1311,0.289,0.06022,0.09437,0.07686,0.0131,0.00974,0.11706,0.12168,0.00071
1639,chr11,61084358,61086420,0.36033,0.35107,0.35224,0.19153,0.00176,0.0049,0.05804,0.01156,0.04242,0.0822
1647,chr11,62325418,62389619,0.14644,0.078,0.00026,0.09694,0.01755,0.2069,0.01012,0.08674,0.00205,0.13624
1663,chr11,65874636,65876048,0.05677,0.00196,0.01769,0.1448,0.09493,0.00936,0.04272,0.03623,0.21484,0.07615
1693,chr11,71421918,71423453,0.06766,0.04811,0.31276,0.018,0.00732,0.32759,0.06284,0.37538,0.02441,0.50971
1717,chr11,81186867,81195456,0.0557,0.04887,0.01939,0.00961,0.21545,0.02419,0.05069,0.13182,0.11148,0.00562
1726,chr11,83753612,83756874,0.08389,0.05944,0.04239,0.00317,0.21961,0.23586,0.06228,0.00226,0.08129,0.07629
1764,chr11,90065913,90077392,0.07301,0.00087,0.03418,0.05411,0.07,0.01991,0.21013,0.02963,0.06739,0.14459
1766,chr11,90460538,90462829,0.18887,0.33535,0.00691,0.11141,0.03716,0.12089,0.02782,0.24037,0.12495,0.06263
1767,chr11,90834905,90837905,0.28584,0.37065,0.30078,0.33022,0.03876,0.0299,0.03352,0.0,0.0,0.0
1777,chr11,93136620,93142745,0.12678,0.27851,0.08953,0.1926,0.04564,0.00376,0.01129,0.07806,0.01289,0.0309
1780,chr11,93286999,93296740,0.00465,0.00919,0.0999,0.05245,0.02344,0.05812,0.07782,0.14978,0.01705,0.2754
1793,chr11,95436215,95442267,0.05436,0.07351,0.43422,0.06037,0.0031,0.192,0.00096,0.13545,0.00051,0.15075
1804,chr11,97947228,98007356,0.01147,0.09057,0.0423,0.00366,0.03572,0.0879,0.02477,0.20085,0.10933,0.02149
1813,chr11,101695056,101704527,0.01511,0.4064,0.00066,0.06893,0.28871,0.00973,0.01994,0.39765,0.17535,0.0599
1831,chr11,105422742,105428178,0.12453,0.22027,0.17105,0.19127,0.05226,0.04044,0.04529,0.0,0.0,0.0
1838,chr11,106915512,106918843,0.05909,0.16284,0.14953,0.23962,0.03981,0.02852,0.09583,0.00117,0.01506,0.02346
1840,chr11,107781455,107800995,0.05433,0.02214,0.08352,0.07206,0.16699,0.03772,0.01089,0.20281,0.1882,0.00617
1901,chr11,127879646,127881689,0.20273,0.0222,0.1991,0.08582,0.26367,0.00156,0.02604,0.29412,0.14315,0.01662
1928,chr11,134926542,134929956,0.03481,0.1301,0.12861,0.21589,0.03751,0.04423,0.10991,0.00022,0.02003,0.01802
1929,chr11,134933739,134936143,0.21778,0.17258,0.17572,0.10549,0.00779,0.00166,0.03514,0.00247,0.00988,0.02289
1939,chr12,921486,947196,0.00053,0.01513,0.23319,0.03768,0.01953,0.24359,0.04341,0.16152,0.00688,0.10082
1950,chr12,3197677,3198888,0.22727,0.0187,0.0339,0.00112,0.14394,0.10221,0.20119,0.00317,0.01101,0.02713
1953,chr12,3934491,3935627,0.00376,0.03292,0.10341,0.01886,0.06005,0.11074,0.0077,0.22979,0.0992,0.07975
1959,chr12,5928405,5929932,0.20242,0.17821,0.16195,0.05162,0.01438,0.0011,0.05263,0.00607,0.02659,0.03729
1975,chr12,8346246,8353476,0.11284,0.00715,0.30497,0.1507,0.09171,0.07567,0.00203,0.34266,0.14062,0.07067
1977,chr12,8405889,8442182,0.00579,0.22573,0.2376,0.19176,0.14904,0.16965,0.12526,0.00314,0.00155,0.01045
1982,chr12,8864244,8865271,0.22275,0.28345,0.22417,0.24878,0.02556,0.01965,0.02206,0.0,0.0,0.0
1986,chr12,9566388,9570648,0.21469,0.36383,0.10375,0.18326,0.02717,0.0198,0.00175,0.09227,0.04446,0.0106
1998,chr12,16267189,16268349,0.00815,0.01209,0.02428,0.11578,0.00035,0.06628,0.07239,0.0734,0.06327,0.25288
2000,chr12,17291891,17293003,0.06209,0.02654,0.20399,0.00346,0.00728,0.06868,0.03803,0.10383,0.01088,0.17814
2017,chr12,22418525,22431803,0.011,0.00378,0.1709,0.03353,0.03812,0.32567,0.10814,0.18498,0.02227,0.09127
2043,chr12,30325350,30328056,0.24534,0.01466,0.44621,0.14414,0.28257,0.08188,0.02669,0.47893,0.19559,0.17858
2063,chr12,33232169,33245378,0.08972,0.01457,0.12554,0.04762,0.16967,0.00839,0.01036,0.21898,0.1143,0.04308
2065,chr12,33562183,33564030,0.14742,0.01411,0.00405,0.00137,0.21007,0.09714,0.10891,0.03492,0.02241,0.00062
2080,chr12,34688001,34697661,0.06725,0.08109,0.21573,0.02537,0.23581,0.0455,0.00805,0.4673,0.16061,0.08844
2087,chr12,37300557,37301920,0.13192,0.04761,0.31401,0.07075,0.26219,0.0455,0.00805,0.50256,0.18517,0.08844
2088,chr12,37308310,37347810,0.03616,0.04067,0.16031,0.00425,0.12068,0.25499,0.05623,0.04604,0.01777,0.13423
2093,chr12,37597423,37600831,0.15948,0.02676,0.34613,0.10121,0.05844,0.03538,0.01078,0.18274,0.02135,0.0913
2095,chr12,37616343,37624293,0.10492,0.01148,0.39924,0.13913,0.14494,0.09954,0.00238,0.46797,0.18517,0.07252
2101,chr12,37687839,37692646,0.10303,0.29262,0.01462,0.16495,0.08928,0.05348,0.0133,0.30694,0.05046,0.13378
2122,chr12,38803763,38807999,0.04241,0.27706,0.11877,0.08913,0.18418,0.02329,0.0118,0.10451,0.13159,0.00194
2133,chr12,42626406,42633635,0.12007,0.21054,0.02256,0.06675,0.01936,0.04197,0.01325,0.1015,0.06107,0.01155
2141,chr12,45509370,45516156,0.01951,0.34392,0.03476,0.12156,0.27098,0.10495,0.05544,0.55297,0.11399,0.27298
2149,chr12,48314792,48316917,0.16873,0.01117,0.33401,0.46088,0.123,0.06477,0.19844,0.28416,0.41551,0.04796
2158,chr12,49878079,49879493,0.07737,0.01842,0.06132,0.01466,0.02439,0.2336,0.02896,0.13927,0.00019,0.14749
2161,chr12,50579927,50581722,0.07405,0.19607,0.02833,0.00897,0.04641,0.15924,0.03534,0.24673,0.13225,0.08581
2176,chr12,53681024,53682982,0.00112,0.21853,0.08015,0.01623,0.25946,0.06808,0.02672,0.48822,0.15183,0.17061
2196,chr12,58115844,58119959,0.19517,0.20908,0.16184,0.1812,0.0,0.0,0.0,0.0,0.0,0.0
2206,chr12,60128058,60131254,0.39286,0.24232,0.20462,0.31452,0.03825,0.05228,0.04924,0.00178,3e-05,0.00191
2221,chr12,66131757,66136470,0.32124,0.10457,0.16101,0.03655,0.56058,0.03061,0.16842,0.39695,0.22535,0.0554
2226,chr12,69163976,69165911,0.1243,0.20209,0.04593,0.08913,0.01936,0.04043,0.0133,0.09446,0.05964,0.01239
2229,chr12,70201066,70203797,0.01143,0.09469,0.05313,0.00894,0.15886,0.01723,0.03713,0.26812,0.03915,0.10084
2235,chr12,71208577,71210693,0.32252,0.58594,0.14057,0.20362,0.11274,0.0673,0.02975,0.33667,0.25099,0.00895
2237,chr12,71795378,71796793,0.01095,0.01216,0.20285,2e-05,0.04959,0.15854,0.01102,0.34648,0.01429,0.25743
2247,chr12,74250797,74254275,0.18508,0.06871,0.21656,0.13344,0.05325,0.0299,0.00349,0.10588,0.02457,0.03361
2260,chr12,79761110,79768988,0.05816,0.04504,0.27493,0.04297,0.00076,0.09403,0.00107,0.11071,4e-05,0.11011
2268,chr12,81745936,81750540,0.17456,0.16274,0.28196,0.21663,0.00021,0.00146,0.00333,0.00282,0.00177,0.01216
2287,chr12,90093305,90097917,0.03234,0.36222,0.05476,0.30306,0.24058,0.00602,0.18401,0.16043,0.01607,0.11182
