Chromosome,Start,End,Africa-America,Africa-CentralAsiaSiberia,Africa-EastAsia,Africa-Oceania,Africa-SouthAsia,Africa-WestEurasia,America-CentralAsiaSiberia,America-EastAsia,America-Oceania,America-SouthAsia,America-WestEurasia,CentralAsiaSiberia-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-SouthAsia,CentralAsiaSiberia-WestEurasia,EastAsia-Oceania,EastAsia-SouthAsia,EastAsia-WestEurasia,Oceania-SouthAsia,Oceania-WestEurasia,SouthAsia-WestEurasia
chr1,108732201,108751200,0.49746,0.07909,0.21636,0.24122,0.31489,0.07453,0.24543,0.09708,0.10184,0.04073,0.16985,0.03911,0.04851,0.09737,0.00047,0.00022,0.01597,0.03091,0.01169,0.02868,0.08035
chr1,109476101,109862900,0.26949,0.04721,0.07349,0.21361,0.12821,0.10789,0.09749,0.08132,0.00488,0.0312,0.02912,0.00163,0.06173,0.01959,0.01486,0.04833,0.01237,0.01005,0.01214,0.01218,8e-05
chr1,112686501,112706600,0.59347,0.2857,0.20732,0.36645,0.43793,0.155,0.17109,0.22443,0.11291,0.06292,0.21076,0.00821,0.00959,0.03776,0.01234,0.0339,0.08381,0.00097,0.00941,0.03778,0.09302
chr1,142781101,142967700,0.04739,0.00987,0.17648,0.10337,0.03312,5e-05,0.01364,0.03949,0.20964,0.10809,0.0333,0.09382,0.14023,0.05916,0.00676,0.33318,0.24667,0.15597,0.01771,0.08879,0.03279
chr1,145946001,146304700,0.12091,0.04839,0.17801,0.23029,0.18509,0.17183,0.03763,0.0001,0.01373,0.00075,0.00274,0.05544,0.13796,0.0659,0.05196,0.01481,0.00043,0.00324,0.01082,0.0013,0.00151
chr1,157173601,157176300,0.08389,0.36749,0.12747,1e-05,0.00683,0.00112,0.1753,0.01182,0.07803,0.15058,0.04473,0.08286,0.32911,0.4328,0.29976,0.09879,0.17034,0.10399,0.00662,0.00066,0.01046
chr1,158867201,158874300,0.10617,0.02689,0.05431,0.02685,0.00046,0.00024,0.06406,0.03389,0.2476,0.10797,0.10468,0.00382,0.11093,0.02238,0.03108,0.15618,0.04732,0.0646,0.03546,0.0228,0.00142
chr1,161408001,161454000,0.28249,0.14653,0.12942,0.06386,0.04745,0.14669,0.06418,0.11453,0.12766,0.17166,0.05683,0.00725,0.01956,0.04309,0.00019,0.00511,0.02196,0.00459,0.00374,0.01304,0.0366
chr1,169217201,169271900,0.08719,0.00035,0.00302,0.09185,0.01536,0.05902,0.12241,0.10248,0.0,0.20398,0.19276,0.00129,0.12755,0.02205,0.05892,0.10795,0.03969,0.09577,0.21302,0.2033,0.01872
chr1,174796101,174804100,0.03226,0.10587,0.1218,0.24716,0.18232,0.04252,0.16057,0.13668,0.33272,0.20109,0.05574,0.00427,0.02098,0.0174,0.00334,0.00348,0.00394,0.01604,2e-05,0.03096,0.03497
chr1,179328101,179334200,0.23176,0.25604,0.2985,0.24209,0.19395,0.23147,0.0,0.00714,0.0,0.02691,0.02064,0.00815,0.0,0.03042,0.02399,0.00756,0.02498,0.02149,0.02838,0.02202,5e-05
chr1,187420501,187510000,0.07788,0.04599,0.05635,0.14622,0.08533,0.00017,0.03467,0.013,0.32719,0.0094,0.06427,0.0002,0.29378,0.01307,0.04135,0.31698,0.00569,0.05634,0.36179,0.13215,0.0772
chr1,187690701,187726500,0.04596,0.00069,0.01291,0.01618,0.14637,0.32011,0.08148,0.02037,0.02037,0.2373,0.34925,0.02139,0.02932,0.12086,0.2593,0.00082,0.22303,0.39731,0.19474,0.32079,0.05751
chr1,198299601,198359700,0.09039,0.15623,0.00077,0.04453,0.02617,0.00757,0.0095,0.0776,0.22712,0.18177,0.12616,0.14121,0.28683,0.25462,0.20275,0.05509,0.03548,0.01329,0.00293,0.01288,0.00536
chr1,199109901,199145700,0.32587,0.25067,0.42569,0.33855,0.2916,0.1757,0.0469,0.0,0.0,0.06154,0.06371,0.0646,0.04904,5e-05,0.01905,0.0,0.08958,0.10218,0.06478,0.06778,0.02317
chr1,204369601,204449700,0.01348,0.08639,0.01915,0.06389,0.07605,0.21492,0.03769,9e-05,0.02229,0.02257,0.13105,0.03074,0.00506,0.00566,0.02741,0.01637,0.01895,0.11491,2e-05,0.09737,0.08784
chr1,206277501,206301500,0.80295,0.31489,0.58207,0.12245,0.27561,0.28736,0.36067,0.02017,0.47078,0.3977,0.11209,0.17649,0.03751,0.00316,0.01824,0.2775,0.23262,0.06752,0.02158,0.07071,0.03733
chr1,210050601,210114000,0.09362,0.00219,0.00956,0.02233,0.05159,0.0227,0.09338,0.0511,0.22689,0.26712,0.15322,0.0026,0.04495,0.07911,0.0337,0.05934,0.10519,0.06019,0.00495,0.0,0.00477
chr1,210721501,210737900,0.21566,0.12395,0.16827,0.13548,0.01852,0.0007,0.01979,0.00334,0.02264,0.12334,0.23536,0.00624,1e-05,0.05126,0.14319,0.00689,0.08844,0.20521,0.05454,0.15194,0.02744
chr1,215477601,215501300,0.58204,0.24587,0.15145,0.12852,0.01376,0.01962,0.25049,0.14251,0.28815,0.49606,0.4355,0.00363,0.00965,0.14013,0.08493,0.01664,0.10719,0.09613,0.0626,0.03199,0.00294
chr1,234318601,234321300,0.31556,0.40731,0.64847,0.46805,0.10283,0.02218,0.00786,0.14267,0.02519,0.06765,0.19979,0.09782,0.00545,0.1251,0.29278,0.05678,0.37447,0.58022,0.16913,0.3451,0.04114
chr1,240391301,240395800,0.25645,1e-05,0.00703,0.00888,0.02818,0.01591,0.37332,0.18792,0.38805,0.17391,0.11746,0.00789,0.0107,0.0335,0.01508,0.02891,0.00651,0.00213,0.06752,0.0371,0.00085
chr10,4283201,4293900,0.22086,0.27483,0.23996,0.13213,0.31243,0.22908,0.01048,0.00138,0.036,0.00919,0.00677,0.01159,0.07094,3e-05,0.02237,0.01794,0.01275,0.00278,0.07468,0.0068,0.02655
chr10,7064801,7078800,0.04455,0.02427,0.01051,0.0012,0.13469,0.22927,0.12172,0.08036,0.05641,0.23416,0.25943,0.00344,0.03577,0.04318,0.10803,0.01681,0.0779,0.17294,0.13846,0.19446,0.03014
chr10,17305801,17339000,0.85965,0.29682,0.12125,0.15603,0.05073,0.03864,0.3052,0.43857,0.56445,0.72109,0.61202,0.0359,0.05676,0.16897,0.13341,0.00154,0.04457,0.03347,0.03831,0.01902,0.0012
chr10,24375401,24383200,0.02197,0.04628,0.00467,0.00018,0.18029,0.30545,0.1042,0.02207,0.06395,0.21872,0.28427,0.08479,0.04325,0.04576,0.1325,0.01028,0.23856,0.3564,0.15479,0.23892,0.04019
chr10,26996901,27003400,0.16119,0.00159,0.00172,0.09209,0.00314,0.06887,0.14439,0.12791,0.44936,0.12113,0.0291,0.0,0.11958,0.00021,0.04118,0.10908,0.00023,0.04839,0.11896,0.24535,0.03953
chr10,27586501,27642200,0.06001,0.0001,0.00269,0.1147,0.09725,0.13627,0.08136,0.08856,0.35788,0.00235,0.00948,0.00168,0.1233,0.11854,0.1446,0.09043,0.1368,0.18331,0.42018,0.43441,0.00393
chr10,28657601,28665900,0.24028,0.07266,0.09671,0.02611,0.00903,0.01849,0.05508,0.03881,0.12399,0.15439,0.10054,0.00118,0.0127,0.0295,0.01367,0.02081,0.04498,0.02723,0.00398,0.00022,0.00202
chr10,46283601,46720400,0.08371,0.00299,0.01468,0.07742,0.0523,0.02841,0.16189,0.19356,0.42601,0.32267,0.20066,0.0046,0.07898,0.0379,0.01235,0.03941,0.0154,0.00269,0.00881,0.01844,0.00459
chr10,51595401,51635300,0.07025,0.03504,0.00119,0.0009,0.113,0.02095,0.17286,0.0865,0.08523,0.2535,0.101,0.02498,0.04741,0.02068,0.0015,0.00407,0.09675,0.01347,0.12019,0.02316,0.03548
chr10,54693201,54969300,0.26389,0.04531,0.05554,0.06056,0.10181,0.1524,0.11684,0.08558,0.08797,0.04386,0.01195,0.00097,0.00178,0.01448,0.03884,8e-05,0.00819,0.03432,0.00608,0.02413,0.00875
chr10,65508401,65511700,0.17572,0.17347,0.24635,0.18415,0.05237,0.03008,0.01698,0.0,0.0,0.07549,0.07187,0.02366,0.01778,0.06338,0.06716,0.0,0.10916,0.11467,0.0794,0.07642,0.00361
chr10,66394301,66405200,0.35356,0.04769,0.03082,0.04088,0.00208,0.03019,0.27614,0.22468,0.23315,0.43389,0.4578,0.00154,0.0,0.07849,0.13969,0.00132,0.05062,0.1194,0.06656,0.12092,0.01755
chr10,67306401,67316000,0.29508,0.36023,0.25499,0.22955,0.18052,0.17349,0.00101,9e-05,0.00417,0.01413,0.00272,0.00163,0.01,0.02517,0.00701,0.00277,0.01274,0.00259,0.00303,1e-05,0.00318
chr10,71023001,71292600,0.28571,0.18116,0.23289,0.00059,0.00477,0.01983,0.00706,0.00059,0.24677,0.22086,0.12218,0.00324,0.14365,0.1331,0.07418,0.17413,0.17931,0.12571,0.0016,0.0102,0.00615
chr10,84125601,84130900,0.1639,0.42276,0.12162,0.0147,0.2514,0.37398,0.11206,0.00652,0.10728,0.00692,0.04194,0.13147,0.40371,0.05592,0.00743,0.0526,0.02919,0.09477,0.16626,0.25746,0.01965
chr10,91949701,92007800,0.00769,0.00877,0.0051,0.46805,0.05037,0.00408,0.0,0.02989,0.45643,0.0644,0.01215,0.03403,0.48173,0.07242,0.01414,0.45652,0.03425,0.0001,0.28732,0.41039,0.02529
chr10,95524401,95566100,0.42358,0.43566,0.3544,0.05447,0.42171,0.37497,0.01698,0.04255,0.27976,0.01912,0.02598,0.03191,0.27444,0.00795,0.01931,0.15065,0.01174,0.00032,0.22684,0.15087,0.00691
chr10,100686101,100724500,0.00023,0.03332,0.11037,0.15253,0.23395,0.06401,0.04701,0.12448,0.2136,0.30305,0.06218,0.03235,0.11408,0.20684,0.00467,0.01765,0.05636,0.00936,0.01731,0.03659,0.08324
chr10,107055901,107078300,0.00065,0.27212,0.44423,0.27652,0.18663,0.31013,0.35212,0.53985,0.37547,0.21879,0.31347,0.04142,0.00017,0.02699,4e-05,0.04161,0.1313,0.03515,0.03164,0.00029,0.02599
chr10,114110401,114118500,0.04249,0.13039,0.27611,0.18373,0.18889,0.06741,0.02847,0.11027,0.06605,0.05344,0.00148,0.02378,0.00705,0.00332,0.01352,0.0043,0.01014,0.07759,0.00084,0.03449,0.03362
chr10,122217801,122240300,0.25711,0.32386,0.31917,0.28247,0.1085,0.07846,0.0073,0.00257,0.00012,0.10145,0.06909,0.02345,0.00965,0.16213,0.10371,0.00494,0.11359,0.09111,0.12115,0.07892,0.00125
chr10,132855901,133108900,0.11019,0.03741,0.12334,0.03041,0.13614,0.00792,0.26719,0.31573,0.24677,0.36149,0.10367,0.02608,0.00015,0.03218,0.0078,0.02785,0.00016,0.06484,0.0342,0.00544,0.06934
chr10,135380001,135524800,0.17696,0.1666,0.25093,0.14533,0.1845,0.12001,0.00371,0.00336,0.01719,0.00275,0.04605,0.01005,0.00235,1e-05,0.03074,0.02731,0.00871,0.08247,0.00168,0.01892,0.03323
chr11,4967301,4982500,0.27681,0.09434,0.11184,0.10248,0.06932,0.10348,0.10266,0.0462,0.07123,0.08843,0.04467,0.00316,0.0015,0.00074,0.00175,0.00042,0.00633,0.00014,0.00348,7e-05,0.00455
chr11,5840901,5936600,0.1375,0.15389,0.22075,0.14442,0.18349,0.17004,0.0,0.0401,0.0,0.0,0.01293,0.04559,0.0,0.0,0.01505,0.0424,0.05594,0.09169,0.0,0.0138,0.01934
chr11,7810901,7846600,0.30488,0.07368,0.00615,0.09506,0.10067,0.08469,0.11871,0.23013,0.12306,0.11441,0.08083,0.03874,0.0013,0.00052,0.0,0.05396,0.05655,0.04626,0.00022,0.001,0.00044
chr11,11790801,11831000,0.02885,0.32536,0.4198,0.35311,0.20555,0.06594,0.40741,0.42596,0.4382,0.24474,0.09071,0.02881,0.00261,0.01148,0.08494,0.01402,0.07294,0.20529,0.02271,0.10379,0.03993
chr11,21846001,21855900,0.06122,0.00012,0.02346,0.35453,0.01692,0.01747,0.08148,0.02037,0.55182,0.02691,0.0239,0.02139,0.37106,0.01538,0.01377,0.4923,0.00048,0.00094,0.47057,0.47923,6e-05
chr11,23163301,23205900,0.14804,0.16544,0.21038,0.04932,0.17989,0.14524,0.0,0.0,0.06395,0.0094,0.01749,0.0,0.07031,0.01065,0.02034,0.08582,0.01404,0.02891,0.06119,0.01658,0.01414
chr11,24244801,24311800,0.08678,0.02837,0.07005,0.09166,0.04765,0.06366,0.20834,0.27651,0.30789,0.23958,0.25594,0.01405,0.07565,0.00367,0.00684,0.01377,0.00282,0.0005,0.0272,0.01237,0.00078
chr11,25750501,25753700,0.28242,0.0,0.0,0.0,0.0,0.0,0.24545,0.28539,0.23548,0.27402,0.31275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr11,26459101,26506900,0.0,0.0,0.0,0.2221,0.0,0.00921,0.0,0.0,0.17426,0.0,0.00568,0.0,0.18937,0.0,0.00662,0.22479,0.0,0.00947,0.21455,0.17926,0.00853
chr11,28997201,29018500,0.02416,0.09058,0.00325,0.1039,4e-05,0.08327,0.22452,0.03988,0.03375,0.0237,0.16141,0.05454,0.38141,0.10001,0.00053,0.12694,0.00399,0.05064,0.10581,0.29521,0.08634
chr11,31389301,31403200,0.19231,0.04027,0.00204,0.02758,0.24262,0.23319,0.09521,0.23527,0.09083,0.00588,0.0144,0.07631,0.00023,0.13128,0.12563,0.05164,0.27825,0.25847,0.12446,0.11842,0.00399
chr11,45386401,45445000,0.06476,0.01946,0.06568,0.03744,0.13671,0.14948,0.0217,0.0002,0.22835,0.01217,0.01517,0.01581,0.14063,0.06672,0.06658,0.18432,0.01662,0.02435,0.29483,0.25369,0.0009
chr11,47052901,47094200,0.35714,0.63521,0.2545,0.53101,0.41471,0.31219,0.1488,0.00123,0.07939,0.02093,0.0152,0.15644,0.00955,0.05686,0.03846,0.0885,0.03348,0.03072,0.0186,0.01197,4e-05
chr11,55365301,55603600,0.16741,0.06807,0.11252,0.26979,0.02961,0.02691,0.02706,0.00759,0.01882,0.06908,0.05584,0.00513,0.08552,0.01025,0.00896,0.04538,0.03154,0.03168,0.14935,0.12307,0.0
chr11,58630101,58639000,0.24178,0.35092,0.27716,0.02818,0.06994,0.0194,0.03451,0.01874,0.10256,0.04755,0.07948,0.00141,0.20273,0.14751,0.19693,0.14765,0.11557,0.17945,0.01058,9e-05,0.0084
chr11,60666201,61164700,0.09465,0.14049,0.31164,0.25676,0.03039,0.0008,0.00728,0.08444,0.06215,0.04763,0.07292,0.04338,0.0209,0.08883,0.11902,0.00673,0.26194,0.29951,0.23594,0.21642,0.01931
chr11,69982301,69984700,0.50884,0.12315,0.08826,0.00287,0.1685,0.04638,0.16307,0.16539,0.43265,0.10457,0.19778,0.00074,0.08192,0.00593,0.00822,0.05253,0.01124,0.00482,0.11285,0.02334,0.03021
chr11,81500001,81536100,0.04396,0.00547,0.03339,0.12363,0.04778,0.02072,0.03107,0.01449,0.24965,0.12136,0.06376,0.01169,0.16393,0.06919,0.03259,0.26207,0.13515,0.07712,0.0166,0.03293,0.00433
chr11,86304201,86315200,0.48011,0.00229,0.1263,0.11994,0.0128,0.00636,0.39384,0.13391,0.1554,0.36323,0.50321,0.07701,0.07708,0.00299,0.01294,5e-05,0.06309,0.18094,0.05755,0.15704,0.03464
chr11,89476801,89667700,0.13985,0.07032,0.10414,0.05368,0.07226,0.01361,0.03363,0.0013,0.34725,0.0175,0.0394,0.01059,0.2646,0.00044,0.00957,0.22485,0.00688,0.03502,0.21639,0.07625,0.01389
chr11,90555701,90591100,0.40764,0.4398,0.51343,0.42151,0.4924,0.51749,0.0,0.0,0.0,0.0,0.00313,0.0,0.0,0.0,0.00365,0.0,0.0,0.00522,0.0,0.00334,0.00471
chr11,96001701,96003600,0.13869,0.03501,0.00772,0.03504,0.00488,0.03695,0.04234,0.08689,0.28708,0.21045,0.27001,0.01055,0.13401,0.07177,0.13001,0.06752,0.02569,0.07816,0.02132,0.00029,0.01754
chr11,102751001,102753300,0.12851,0.16945,0.03014,0.00863,0.06982,0.105,0.02557,0.04836,0.24609,0.02623,0.00976,0.07564,0.30224,0.05152,0.02455,0.06839,0.00888,0.02212,0.13258,0.16214,0.00273
chr11,104234601,104289700,0.19798,0.0459,0.16764,0.07608,0.12159,0.21356,0.0967,0.00816,0.05414,0.02181,0.00175,0.04532,0.00658,0.0221,0.066,0.01694,0.00388,0.00255,0.00465,0.02998,0.01251
chr11,105284101,105315300,0.13115,0.14691,0.14723,0.1378,0.13337,0.20167,0.0,0.00714,0.0,0.0094,0.00568,0.00815,0.0,0.01065,0.00662,0.00756,0.00016,0.00297,0.00993,0.00607,0.00478
chr11,106774101,106793900,0.0286,0.12394,0.08103,0.13335,0.1983,0.13546,0.18333,0.11023,0.19787,0.21546,0.13772,0.0023,0.0003,0.0183,0.00354,0.004,0.03415,0.01279,0.01361,0.0018,0.00567
chr12,1203401,2274600,0.00135,0.11288,0.0414,0.28024,0.04232,0.12608,0.14202,0.04856,0.35143,0.05398,0.11633,0.01714,0.05716,0.02068,0.00055,0.11137,3e-05,0.0255,0.13152,0.03169,0.02731
chr12,8558501,8596700,0.19954,0.24991,0.30929,0.03342,0.25083,0.3546,0.02557,0.03121,0.15204,0.00017,0.03541,0.0,0.21137,0.02163,0.0,0.24964,0.02842,0.0,0.17194,0.27656,0.03419
chr12,31869501,31996000,0.0398,0.03175,0.04739,1e-05,0.07859,0.04538,0.00206,0.00154,0.10529,0.02955,0.00332,0.0002,0.06392,0.02222,0.0001,0.09435,0.03102,0.00086,0.20312,0.07128,0.02955
chr12,32706301,33461700,0.02552,0.06804,0.05874,0.01443,0.07949,0.13316,0.0094,0.14407,0.0019,0.01049,0.03879,0.21805,0.02016,0.0,0.01688,0.12193,0.24536,0.26381,0.02247,0.05537,0.02092
chr12,38445601,38454800,0.32776,0.35742,0.42779,0.34047,0.40733,0.47843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,42652701,43865100,0.3121,0.16549,0.23088,0.12852,0.12114,0.09168,0.01478,0.00761,0.05825,0.0416,0.03072,0.00186,0.01144,0.00587,0.004,0.0253,0.01745,0.0143,0.00101,0.00122,7e-05
chr12,45888601,45929700,0.16316,0.03322,0.39119,0.32377,0.17572,0.01147,0.07759,0.11323,0.11829,5e-05,0.20632,0.29418,0.26087,0.06889,0.07249,0.00756,0.07813,0.44515,0.0692,0.35238,0.24399
chr12,48687701,48748000,0.07324,0.00068,0.08137,0.07265,0.1113,0.14762,0.09345,0.31891,0.00053,0.00679,0.0206,0.08211,0.08464,0.11369,0.1308,0.25689,0.29141,0.29641,0.00324,0.015,0.00652
chr12,50273001,51174800,0.21575,0.28362,0.17297,0.19459,0.05451,0.00311,0.0119,0.00014,8e-05,0.06244,0.24459,0.01283,0.00889,0.11899,0.32199,0.00039,0.05078,0.22263,0.05976,0.22694,0.08199
chr12,60520101,61455100,0.42701,0.1396,0.14643,0.31838,0.12556,0.0989,0.26479,0.15094,0.04834,0.17094,0.13471,0.00033,0.1057,7e-05,0.00162,0.06524,0.00066,0.00356,0.07811,0.07132,0.00113
chr12,81387201,81425500,0.20849,0.02328,0.0,0.0,0.0,0.01871,0.14031,0.21091,0.17092,0.20167,0.08833,0.02366,0.01778,0.02222,0.00365,0.0,0.0,0.01923,0.0,0.01237,0.01734
chr12,82102101,82135700,0.21359,0.18812,0.12381,0.0,0.0,0.01433,0.00014,0.00276,0.1753,0.20665,0.12518,0.00181,0.14962,0.18096,0.11771,0.09016,0.11709,0.08637,0.0,0.00946,0.01328
chr12,82138801,82144600,0.19504,0.35245,0.1641,0.00842,0.03051,0.05677,0.00948,0.00089,0.12403,0.08174,0.03386,0.01611,0.24827,0.17801,0.08786,0.09008,0.06662,0.03122,0.00601,0.01935,0.00724
chr12,90483201,91050900,0.0125,0.24142,0.16134,0.00238,0.13246,0.09157,0.42169,0.2521,0.00467,0.21767,0.1338,0.01854,0.32685,0.02455,0.03632,0.19319,0.00073,0.00822,0.16346,0.09965,0.00378
chr12,91721901,91723900,0.21359,0.09729,0.0,0.0,0.09376,0.00508,0.08153,0.21605,0.1753,0.02222,0.21695,0.09877,0.07565,0.0146,0.07545,0.0,0.09553,0.00522,0.0692,0.00334,0.09835
chr12,102075601,102360500,0.21734,0.08014,0.07662,0.00269,0.11521,0.05576,0.07284,0.03697,0.22967,0.01817,0.03652,0.00309,0.11852,0.01496,0.00117,0.07595,0.00405,0.00026,0.11336,0.0496,0.00592
chr12,117640401,117643900,0.02601,0.09778,0.13434,0.53192,0.19909,0.09266,0.02505,0.04192,0.38809,0.08057,0.02263,0.00344,0.23259,0.01746,0.00051,0.17578,0.00549,0.00118,0.14004,0.1641,0.01073
chr13,22584001,22606600,0.01181,0.09021,0.00013,0.02403,0.02217,0.00375,0.16082,0.01296,0.08891,0.00132,0.00256,0.11016,0.0271,0.20428,0.12885,0.03341,0.02478,0.00299,0.11596,0.04586,0.00759
chr13,23616201,23744000,0.02381,0.00012,0.01269,0.0029,0.07,0.14903,0.03467,0.00714,0.02037,0.11764,0.15053,0.0162,0.00473,0.05692,0.11302,0.00322,0.12806,0.20169,0.07986,0.12743,0.02926
chr13,27034201,27157500,0.17932,0.32959,0.2288,0.0164,0.13385,0.23767,0.033,0.00673,0.27517,0.00299,0.01118,0.00807,0.41021,0.05442,0.00292,0.25729,0.02034,0.00115,0.18047,0.23817,0.02972
chr13,39056201,39065600,0.00148,0.06883,0.05141,0.05187,0.02599,0.14423,0.04865,0.02909,0.07745,0.01269,0.0897,0.00095,0.23178,0.01105,0.0156,0.1604,0.00509,0.02684,0.13408,0.24965,0.05375
chr13,39716501,39753200,0.15171,0.16945,0.2152,0.15921,0.20134,0.23696,0.0,0.0,0.0,0.0,0.00313,0.0,0.0,0.0,0.00365,0.0,0.0,0.00522,0.0,0.00334,0.00471
chr13,39933401,39967900,0.04373,0.13027,0.18292,0.31838,0.17496,0.16583,0.02402,0.04588,0.17957,0.0433,0.03247,0.00637,0.09099,0.00458,0.00268,0.03613,0.00021,0.00063,0.04555,0.03844,0.00011
chr13,52806401,52911800,0.02882,0.00152,0.10656,0.08869,0.14249,0.04125,0.04041,0.21369,0.1931,0.24957,0.10494,0.0801,0.07435,0.11769,0.02184,0.0008,0.01766,0.00875,0.01007,0.00833,0.02605
chr13,53059801,53141600,0.10577,0.08012,0.11836,0.01782,0.00756,0.00641,0.01698,0.00714,0.22297,0.07312,0.04569,0.00205,0.18052,0.04605,0.03176,0.22962,0.07247,0.05427,0.04758,0.03716,1e-05
chr13,65310101,65403700,0.00598,0.00231,0.04356,0.00334,0.08077,0.14694,0.01598,0.03121,0.00044,0.09325,0.12672,0.06739,0.01095,0.05081,0.09681,0.02778,0.18051,0.23239,0.08751,0.12616,0.01906
chr13,72469801,72485600,0.00398,0.01701,0.07315,0.04882,0.07246,0.17555,0.00438,0.03965,0.02939,0.10252,0.17829,0.02259,0.01353,0.16047,0.2471,0.00159,0.27166,0.38468,0.22743,0.29905,0.03258
chr13,72839801,72854400,0.30163,0.0229,0.12205,0.06813,0.27661,0.2741,0.20149,0.06763,0.13801,0.01081,0.00224,0.03882,0.01302,0.15415,0.14265,0.0085,0.03834,0.05153,0.08771,0.08215,0.00206
chr13,78997501,79000000,0.79422,0.32345,0.26178,0.00842,0.05936,0.08319,0.23399,0.23154,0.73817,0.50933,0.32601,0.00248,0.2304,0.11616,0.05547,0.1661,0.08772,0.0441,0.02242,0.03676,0.0064
chr13,81791601,81815000,0.21826,0.24157,0.29977,0.22817,0.24053,0.31954,0.0,0.0,0.0,0.0094,0.00633,0.0,0.0,0.01065,0.00737,0.0,0.01404,0.01054,0.00993,0.00676,0.00256
chr13,86658401,86741600,0.14322,0.16016,0.20402,0.15038,0.1907,0.17923,0.0,0.0,0.0,0.0,0.00849,0.0,0.0,0.0,0.00989,0.0,0.0,0.01413,0.0,0.00907,0.01274
